"",32.500
149.0000,0.0000E+000
149.0417,-3.9016E+002
149.0833,-3.9044E+002
149.1250,-3.9072E+002
149.1667,-3.9057E+002
149.2083,-3.9032E+002
149.2500,-3.9007E+002
149.2917,-3.8974E+002
149.3333,-3.8950E+002
149.3750,-3.8932E+002
149.4167,-3.8923E+002
149.4583,-3.8921E+002
149.5000,-3.8930E+002
149.5417,-3.8939E+002
149.5833,-3.8945E+002
149.6250,-3.8942E+002
149.6667,-3.8931E+002
149.7083,-3.8928E+002
149.7500,-3.8926E+002
149.7917,-3.8926E+002
149.8333,-3.8922E+002
149.8750,-3.8917E+002
149.9167,-3.8907E+002
149.9583,-3.8895E+002
150.0000,-3.8880E+002
150.0417,-3.8863E+002
150.0833,-3.8843E+002
150.1250,-3.8825E+002
150.1667,-3.8810E+002
150.2083,-3.8797E+002
150.2500,-3.8791E+002
150.2917,-3.8793E+002
150.3333,-3.8800E+002
150.3750,-3.8806E+002
150.4167,-3.8819E+002
150.4583,-3.8829E+002
150.5000,-3.8823E+002
150.5417,-3.8830E+002
150.5833,-3.8835E+002
150.6250,-3.8851E+002
150.6667,-3.8859E+002
150.7083,-3.8869E+002
150.7500,-3.8873E+002
150.7917,-3.8882E+002
150.8333,-3.8892E+002
150.8750,-3.8909E+002
150.9167,-3.8919E+002
150.9583,-3.8927E+002
151.0000,-3.8932E+002
151.0417,-3.8939E+002
151.0833,-3.8948E+002
151.1250,-3.8961E+002
151.1667,-3.8973E+002
151.2083,-3.8987E+002
151.2500,-3.8997E+002
151.2917,-3.9007E+002
151.3333,-3.9016E+002
151.3750,-3.9027E+002
151.4167,-3.9037E+002
151.4583,-3.9049E+002
151.5000,-3.9059E+002
151.5417,-3.9069E+002
151.5833,-3.9077E+002
151.6250,-3.9087E+002
151.6667,-3.9095E+002
151.7083,-3.9106E+002
151.7500,-3.9114E+002
151.7917,-3.9124E+002
151.8333,-3.9131E+002
151.8750,-3.9140E+002
151.9167,-3.9147E+002
151.9583,-3.9156E+002
152.0000,-3.9163E+002
152.0417,-3.9171E+002
152.0833,-3.9179E+002
152.1250,-3.9187E+002
152.1667,-3.9195E+002
152.2083,-3.9204E+002
152.2500,-3.9212E+002
152.2917,-3.9221E+002
152.3333,-3.9230E+002
152.3750,-3.9240E+002
152.4167,-3.9249E+002
152.4583,-3.9258E+002
152.5000,-3.9267E+002
152.5417,-3.9277E+002
152.5833,-3.9286E+002
152.6250,-3.9296E+002
152.6667,-3.9305E+002
152.7083,-3.9315E+002
152.7500,-3.9324E+002
152.7917,-3.9335E+002
152.8333,-3.9344E+002
152.8750,-3.9355E+002
152.9167,-3.9364E+002
152.9583,-3.9375E+002
153.0000,-3.9385E+002
153.0417,-3.9395E+002
153.0833,-3.9406E+002
153.1250,-3.9417E+002
153.1667,-3.9428E+002
153.2083,-3.9441E+002
153.2500,-3.9453E+002
153.2917,-3.9466E+002
153.3333,-3.9479E+002
153.3750,-3.9493E+002
153.4167,-3.9506E+002
153.4583,-3.9520E+002
153.5000,-3.9534E+002
153.5417,-3.9550E+002
153.5833,-3.9565E+002
153.6250,-3.9581E+002
153.6667,-3.9596E+002
153.7083,-3.9614E+002
153.7500,-3.9629E+002
153.7917,-3.9648E+002
153.8333,-3.9664E+002
153.8750,-3.9683E+002
153.9167,-3.9701E+002
153.9583,-3.9720E+002
154.0000,-3.9738E+002
154.0417,-3.9759E+002
154.0833,-3.9778E+002
154.1250,-3.9799E+002
154.1667,-3.9820E+002
154.2083,-3.9843E+002
154.2500,-3.9865E+002
154.2917,-3.9889E+002
154.3333,-3.9913E+002
154.3750,-3.9937E+002
154.4167,-3.9962E+002
154.4583,-3.9986E+002
154.5000,-4.0011E+002
154.5417,-4.0036E+002
154.5833,-4.0061E+002
154.6250,-4.0085E+002
154.6667,-4.0107E+002
154.7083,-4.0126E+002
154.7500,-4.0151E+002
154.7917,-4.0171E+002
154.8333,-4.0186E+002
154.8750,-4.0193E+002
154.9167,-4.0216E+002
154.9583,-4.0237E+002
155.0000,-4.0252E+002
155.0417,-4.0259E+002
155.0833,-4.0273E+002
155.1250,-4.0291E+002
155.1667,-4.0303E+002
155.2083,-4.0310E+002
155.2500,-4.0318E+002
155.2917,-4.0328E+002
155.3333,-4.0334E+002
155.3750,-4.0330E+002
155.4167,-4.0339E+002
155.4583,-4.0345E+002
155.5000,-4.0346E+002
155.5417,-4.0340E+002
155.5833,-4.0348E+002
155.6250,-4.0351E+002
155.6667,-4.0348E+002
155.7083,-4.0343E+002
155.7500,-4.0346E+002
155.7917,-4.0344E+002
155.8333,-4.0333E+002
155.8750,-4.0327E+002
155.9167,-4.0324E+002
155.9583,-4.0312E+002
156.0000,-4.0295E+002
156.0417,-4.0288E+002
156.0833,-4.0275E+002
156.1250,-4.0252E+002
156.1667,-4.0242E+002
156.2083,-4.0226E+002
156.2500,-4.0204E+002
156.2917,-4.0185E+002
156.3333,-4.0165E+002
156.3750,-4.0143E+002
156.4167,-4.0119E+002
156.4583,-4.0101E+002
156.5000,-4.0076E+002
156.5417,-4.0055E+002
156.5833,-4.0032E+002
156.6250,-4.0008E+002
156.6667,-3.9978E+002
156.7083,-3.9954E+002
156.7500,-3.9928E+002
156.7917,-3.9899E+002
156.8333,-3.9870E+002
156.8750,-3.9840E+002
156.9167,-3.9808E+002
156.9583,-3.9778E+002
157.0000,-3.9747E+002
157.0417,-3.9716E+002
157.0833,-3.9682E+002
157.1250,-3.9649E+002
157.1667,-3.9615E+002
157.2083,-3.9586E+002
157.2500,-3.9556E+002
157.2917,-3.9528E+002
157.3333,-3.9497E+002
157.3750,-3.9467E+002
157.4167,-3.9437E+002
157.4583,-3.9409E+002
157.5000,-3.9383E+002
157.5417,-3.9358E+002
157.5833,-3.9332E+002
157.6250,-3.9306E+002
157.6667,-3.9281E+002
157.7083,-3.9255E+002
