"",33.000
0.0000,0.0000E+000
1.0000,5.0714E+001
2.0000,3.8800E+001
3.0000,4.8582E+001
4.0000,3.1333E+001
5.0000,1.0711E+001
6.0000,3.1581E+001
7.0000,5.3836E+001
8.0000,4.5990E+001
9.0000,4.8717E+001
10.0000,5.2621E+001
11.0000,4.2092E+001
12.0000,4.2197E+001
13.0000,5.1675E+001
14.0000,5.5607E+001
15.0000,4.9133E+001
16.0000,3.7209E+001
17.0000,6.8165E+000
18.0000,4.3195E+001
19.0000,4.0544E+001
20.0000,2.0478E+001
21.0000,6.9682E+001
22.0000,2.0609E+001
23.0000,5.2923E+001
24.0000,6.3455E+001
25.0000,6.4857E+001
26.0000,6.6396E+001
27.0000,6.8053E+001
28.0000,6.8120E+001
29.0000,4.8502E+001
30.0000,2.1951E+001
31.0000,6.0528E+001
32.0000,5.0717E+001
33.0000,7.1698E+001
34.0000,8.3958E+001
35.0000,8.5810E+001
36.0000,2.1110E+001
37.0000,8.3609E+001
38.0000,8.6190E+001
39.0000,9.0651E+001
40.0000,9.2179E+001
41.0000,7.7636E+001
42.0000,9.7309E+001
43.0000,7.6133E+001
44.0000,8.9396E+001
45.0000,3.9707E+001
46.0000,8.3911E+001
47.0000,8.8762E+001
48.0000,6.0151E+001
49.0000,3.6774E+001
50.0000,3.8812E+001
51.0000,6.3054E+001
52.0000,9.2050E+001
53.0000,8.4945E+001
54.0000,1.2064E+001
55.0000,5.8208E+001
56.0000,9.7663E+001
57.0000,8.1305E+001
58.0000,3.9548E+001
59.0000,1.1991E+002
60.0000,1.1832E+002
61.0000,6.0966E+001
62.0000,1.0267E+002
63.0000,4.2018E+001
64.0000,1.2204E+002
65.0000,1.2487E+002
66.0000,3.5913E+001
67.0000,1.2096E+002
68.0000,5.5022E+001
69.0000,1.2915E+002
70.0000,1.1038E+002
71.0000,8.9266E+001
72.0000,5.6216E+001
73.0000,9.0572E+001
74.0000,1.4568E+002
75.0000,1.2706E+002
76.0000,5.7862E+001
77.0000,3.1335E+001
78.0000,4.8594E+001
79.0000,9.2102E+001
80.0000,1.3862E+002
81.0000,6.1949E+001
82.0000,1.1369E+002
83.0000,1.2323E+002
84.0000,1.2397E+002
85.0000,9.4072E+001
86.0000,1.1084E+002
87.0000,9.8283E+001
88.0000,1.0829E+002
89.0000,3.2578E+001
90.0000,4.2752E+001
91.0000,9.8149E+001
92.0000,1.5453E+002
93.0000,1.6916E+002
94.0000,2.9886E+001
95.0000,1.8942E+001
96.0000,5.2388E+001
97.0000,1.2630E+002
98.0000,1.1489E+002
99.0000,1.5225E+002
100.0000,1.2188E+002
101.0000,1.4556E+002
102.0000,1.4532E+002
103.0000,1.3763E+002
104.0000,1.4336E+002
105.0000,1.8179E+002
106.0000,1.7748E+002
107.0000,1.7824E+002
108.0000,1.7157E+002
109.0000,1.1824E+002
110.0000,9.7675E+001
111.0000,1.9670E+002
112.0000,1.9389E+002
113.0000,1.9488E+002
114.0000,1.9386E+002
115.0000,1.3036E+002
116.0000,1.8393E+002
117.0000,1.9976E+002
118.0000,9.8278E+001
119.0000,2.0635E+001
120.0000,1.8079E+002
121.0000,1.6454E+002
122.0000,1.5762E+002
123.0000,9.6852E+001
124.0000,1.9946E+002
125.0000,1.6210E+002
126.0000,1.5974E+002
127.0000,7.4445E+001
128.0000,3.6635E+001
129.0000,1.7937E+002
130.0000,2.0167E+002
131.0000,1.1747E+002
132.0000,5.3267E+001
133.0000,4.1162E+001
134.0000,3.6907E+001
135.0000,1.3079E+002
136.0000,2.0429E+002
137.0000,7.3768E+001
138.0000,2.1908E+001
139.0000,1.7984E+002
140.0000,1.9824E+002
141.0000,2.1294E+002
142.0000,1.0015E+002
143.0000,4.2678E+001
144.0000,2.0041E+002
145.0000,1.6320E+002
146.0000,2.0976E+002
147.0000,4.1440E+001
148.0000,2.5363E+001
149.0000,1.0641E+002
150.0000,2.0573E+002
151.0000,7.2084E+001
152.0000,8.9347E+001
153.0000,1.4954E+002
154.0000,1.7199E+002
155.0000,4.2446E+001
156.0000,1.8571E+002
157.0000,4.6631E+001
158.0000,7.2861E+001
159.0000,1.3091E+002
160.0000,1.7261E+002
161.0000,1.7444E+002
162.0000,1.3090E+002
163.0000,5.4528E+001
164.0000,1.1204E+002
165.0000,1.1504E+002
166.0000,1.8545E+002
167.0000,1.9830E+002
168.0000,1.8892E+002
169.0000,1.6235E+002
170.0000,1.4028E+002
171.0000,1.7755E+002
172.0000,1.9376E+002
173.0000,1.9932E+002
174.0000,1.5943E+002
175.0000,1.8617E+002
176.0000,1.1583E+002
177.0000,1.4589E+002
178.0000,2.0027E+002
179.0000,3.0733E+001
180.0000,1.8674E+001
181.0000,1.9800E+002
182.0000,1.7052E+002
183.0000,1.4139E+000
184.0000,1.6571E+002
185.0000,1.6186E+002
186.0000,5.9368E+000
187.0000,5.7439E+001
