"",33.000
243.0000,0.0000E+000
244.0000,1.0803E+002
245.0000,6.6187E+001
246.0000,1.3623E+001
247.0000,-4.4262E+000
248.0000,7.7021E+000
249.0000,4.3510E+001
250.0000,2.9290E+001
251.0000,-1.2595E+001
252.0000,-9.8122E+000
253.0000,1.1667E-001
254.0000,2.2138E+000
255.0000,-1.5726E+000
256.0000,-4.1989E+000
257.0000,-8.1891E-001
258.0000,1.3624E+000
259.0000,4.7069E-001
260.0000,-1.1841E+000
261.0000,-6.4121E+000
262.0000,-1.0646E+001
263.0000,-1.2829E+001
264.0000,-7.2373E+001
265.0000,-3.9015E+001
266.0000,-3.5455E+001
267.0000,-1.3840E+001
268.0000,-4.8419E+001
269.0000,-7.0648E+001
270.0000,-6.7139E+001
271.0000,-6.6255E+001
272.0000,-5.8430E+001
273.0000,-1.2732E+002
274.0000,-1.1268E+002
275.0000,-6.8010E+001
276.0000,-6.0707E+001
277.0000,-6.0505E+001
278.0000,-4.2010E+001
279.0000,-3.8925E+001
280.0000,-4.2794E+001
281.0000,-4.1260E+001
282.0000,-3.3762E+001
283.0000,-2.0525E+001
284.0000,-1.4542E+001
285.0000,-4.5858E+000
286.0000,-4.4845E+001
287.0000,-3.5674E+001
288.0000,-4.6956E+000
289.0000,-2.9648E+001
290.0000,-1.9576E+001
291.0000,-4.7616E+001
292.0000,-7.4896E+001
293.0000,-7.1699E+001
294.0000,-5.6227E+001
295.0000,-5.3229E+001
296.0000,-4.6400E+001
297.0000,-2.0471E+001
298.0000,-6.0063E+001
299.0000,-7.0878E+001
300.0000,-5.6231E+001
301.0000,-5.0200E+001
302.0000,-8.3666E+001
303.0000,-1.2216E+002
304.0000,-6.4269E+001
305.0000,-2.7988E+001
306.0000,-1.0709E+002
307.0000,-4.8717E+001
308.0000,-2.7895E+001
309.0000,-2.2562E+001
310.0000,-3.2647E+000
311.0000,-6.1395E-001
312.0000,-3.4527E+001
313.0000,-1.0096E+002
314.0000,-4.4571E+001
315.0000,-2.8800E+001
316.0000,-1.4371E+001
317.0000,-4.1710E+001
318.0000,-8.6383E+001
319.0000,-5.5320E+001
320.0000,-4.0785E+001
321.0000,-5.6377E+001
322.0000,-3.7846E+001
323.0000,-1.7270E+001
324.0000,-6.2892E+001
325.0000,-5.1297E+001
326.0000,-2.7189E+001
327.0000,-5.2666E+000
328.0000,-4.9383E+001
329.0000,-2.1758E+001
330.0000,8.9054E+000
331.0000,-9.1696E+001
332.0000,-5.6731E+001
333.0000,-5.1374E+001
334.0000,-4.8555E+001
335.0000,-4.0605E+001
336.0000,-5.3934E+001
337.0000,-6.0703E+001
338.0000,-4.8056E+001
339.0000,-3.0868E+001
340.0000,-7.1084E+000
341.0000,-7.6541E+001
342.0000,-2.3450E+001
343.0000,-9.3626E+001
344.0000,-6.0941E+001
345.0000,-1.9580E+001
346.0000,-8.6978E+001
347.0000,-6.8387E+001
348.0000,-2.3964E+001
349.0000,-1.4253E+001
350.0000,-4.1639E+001
351.0000,-2.3872E+001
352.0000,-2.8576E+001
353.0000,-3.2132E+001
354.0000,-1.7541E+001
355.0000,-1.3956E+001
356.0000,-4.4012E+001
357.0000,-3.9691E+001
358.0000,-4.6914E+001
359.0000,-3.9749E+001
360.0000,-5.2148E+001
361.0000,-4.4581E+001
362.0000,-3.0429E+001
363.0000,-3.5878E+001
364.0000,-2.8983E+001
365.0000,-2.5509E+001
366.0000,-1.0548E+001
367.0000,-2.9969E+001
368.0000,-6.9961E+001
369.0000,-5.5976E+001
370.0000,-3.2638E+001
371.0000,-3.3595E+001
372.0000,-3.5023E+001
373.0000,-5.7187E+001
374.0000,-3.1944E+001
375.0000,-2.9660E+001
376.0000,-3.9959E+001
377.0000,-3.2640E+001
378.0000,-1.9697E+001
379.0000,-1.8046E+001
380.0000,-2.8570E+001
381.0000,-2.0163E+001
382.0000,-6.5934E+001
383.0000,-6.7336E+001
384.0000,-2.8286E+001
385.0000,-2.1221E+001
386.0000,-6.3110E+001
387.0000,-7.1774E+001
388.0000,-3.0117E+001
389.0000,-1.3221E+001
390.0000,-4.2886E+001
391.0000,-2.7233E+001
392.0000,-3.9886E+001
393.0000,-3.5443E+001
394.0000,-4.1296E+001
395.0000,-4.1385E+001
396.0000,-2.6180E+001
397.0000,-4.7455E+001
398.0000,-6.5246E+001
399.0000,-2.8051E+001
400.0000,-1.7584E+001
401.0000,-4.7960E+001
402.0000,-4.9493E+001
403.0000,-5.6202E+001
404.0000,-5.1760E+001
405.0000,-4.4594E+001
406.0000,-3.3375E+001
407.0000,-2.8157E+001
408.0000,-2.3763E+000
409.0000,-2.3623E+001
410.0000,-3.6695E+001
411.0000,-4.5440E+001
412.0000,-4.9778E+001
413.0000,-2.7601E+001
414.0000,-2.9234E+001
415.0000,-2.2826E+001
416.0000,-1.8088E+001
417.0000,-5.3545E+001
418.0000,-6.4346E+001
419.0000,-2.9123E+001
420.0000,-2.0362E+001
421.0000,-1.7573E+001
422.0000,-6.3795E+000
423.0000,-2.2455E+001
424.0000,-1.0173E+001
425.0000,-2.8982E+000
426.0000,-1.1921E+001
427.0000,-1.7965E+000
428.0000,1.8822E+001
429.0000,-1.6534E+001
430.0000,-2.9769E+001
431.0000,-1.6690E+001
432.0000,-2.7640E+001
433.0000,-4.3980E+001
434.0000,-3.6231E+001
435.0000,-3.5421E+001
436.0000,-4.6212E+001
437.0000,-3.5339E+001
438.0000,-1.4709E+001
439.0000,-1.6319E+001
440.0000,-7.5763E+000
441.0000,-1.8244E+001
442.0000,-3.0227E+001
443.0000,-1.2103E+001
444.0000,-3.0230E+001
445.0000,-1.4279E+001
446.0000,-5.9163E+000
447.0000,5.5643E-001
448.0000,-2.0346E+001
449.0000,-9.0747E+000
450.0000,-2.3363E+001
451.0000,-4.9525E+001
452.0000,-4.9627E+001
453.0000,1.0831E+001
454.0000,3.2926E+001
455.0000,-8.4946E+001
456.0000,-5.0459E+001
457.0000,5.3976E+000
458.0000,-9.9986E+000
459.0000,-8.8410E+001
460.0000,-9.0432E+001
461.0000,-2.6056E+001
462.0000,-3.2398E+000
463.0000,-4.7472E+001
464.0000,-5.8951E+001
465.0000,-2.6002E+001
466.0000,-3.3751E+001
467.0000,-5.7549E+001
468.0000,-4.3119E+001
469.0000,-4.1733E+001
470.0000,-5.4882E+001
471.0000,-2.3628E+001
472.0000,5.5526E+001
473.0000,-1.0581E+001
474.0000,-2.9698E+001
475.0000,-8.5580E+000
476.0000,-1.6056E+001
477.0000,-4.0540E+001
478.0000,-3.3725E+001
479.0000,-4.3558E+001
480.0000,-1.4811E+001
481.0000,-7.2692E+001
482.0000,-4.2802E+001
483.0000,-4.0626E+001
484.0000,4.1104E+001
485.0000,-2.9689E+001
486.0000,-7.2498E+001
487.0000,-3.5707E+001
488.0000,-2.8754E+001
489.0000,-4.5521E+001
490.0000,-6.0824E+001
491.0000,-4.9108E+001
492.0000,-1.5376E+001
493.0000,-3.5174E+001
494.0000,-2.1718E+001
495.0000,-3.3243E+001
496.0000,-4.5584E+001
497.0000,-3.0706E+001
498.0000,-2.7871E+001
499.0000,-3.3323E+001
500.0000,-2.3132E+001
501.0000,-2.8754E+001
502.0000,-2.8100E+001
503.0000,-1.5907E+001
504.0000,-4.2864E+000
505.0000,-3.2666E+001
506.0000,-3.9431E+001
507.0000,-1.2512E+002
508.0000,-8.7425E+001
509.0000,-2.1362E+001
510.0000,-4.9032E+001
