"",32.500
149.0000,0.0000E+000
149.0417,-3.9016E+002
149.0833,-3.9059E+002
149.1250,-3.9100E+002
149.1667,-3.9135E+002
149.2083,-3.9154E+002
149.2500,-3.9152E+002
149.2917,-3.9169E+002
149.3333,-3.9199E+002
149.3750,-3.9231E+002
149.4167,-3.9262E+002
149.4583,-3.9292E+002
149.5000,-3.9320E+002
149.5417,-3.9346E+002
149.5833,-3.9371E+002
149.6250,-3.9393E+002
149.6667,-3.9412E+002
149.7083,-3.9430E+002
149.7500,-3.9445E+002
149.7917,-3.9457E+002
149.8333,-3.9466E+002
149.8750,-3.9472E+002
149.9167,-3.9476E+002
149.9583,-3.9476E+002
150.0000,-3.9472E+002
150.0417,-3.9463E+002
150.0833,-3.9448E+002
150.1250,-3.9440E+002
150.1667,-3.9440E+002
150.2083,-3.9442E+002
150.2500,-3.9446E+002
150.2917,-3.9449E+002
150.3333,-3.9449E+002
150.3750,-3.9449E+002
150.4167,-3.9449E+002
150.4583,-3.9447E+002
150.5000,-3.9442E+002
150.5417,-3.9439E+002
150.5833,-3.9435E+002
150.6250,-3.9424E+002
150.6667,-3.9413E+002
150.7083,-3.9408E+002
150.7500,-3.9402E+002
150.7917,-3.9392E+002
150.8333,-3.9388E+002
150.8750,-3.9389E+002
150.9167,-3.9380E+002
150.9583,-3.9350E+002
151.0000,-3.9343E+002
151.0417,-3.9335E+002
151.0833,-3.9322E+002
151.1250,-3.9298E+002
151.1667,-3.9299E+002
151.2083,-3.9298E+002
151.2500,-3.9292E+002
151.2917,-3.9278E+002
151.3333,-3.9286E+002
151.3750,-3.9290E+002
151.4167,-3.9285E+002
151.4583,-3.9277E+002
151.5000,-3.9280E+002
151.5417,-3.9279E+002
151.5833,-3.9274E+002
151.6250,-3.9273E+002
151.6667,-3.9273E+002
151.7083,-3.9272E+002
151.7500,-3.9273E+002
151.7917,-3.9276E+002
151.8333,-3.9280E+002
151.8750,-3.9284E+002
151.9167,-3.9290E+002
151.9583,-3.9296E+002
152.0000,-3.9303E+002
152.0417,-3.9310E+002
152.0833,-3.9319E+002
152.1250,-3.9326E+002
152.1667,-3.9336E+002
152.2083,-3.9346E+002
152.2500,-3.9359E+002
152.2917,-3.9367E+002
152.3333,-3.9375E+002
152.3750,-3.9383E+002
152.4167,-3.9394E+002
152.4583,-3.9406E+002
152.5000,-3.9415E+002
152.5417,-3.9426E+002
152.5833,-3.9435E+002
152.6250,-3.9446E+002
152.6667,-3.9455E+002
152.7083,-3.9467E+002
152.7500,-3.9476E+002
152.7917,-3.9487E+002
152.8333,-3.9496E+002
152.8750,-3.9506E+002
152.9167,-3.9515E+002
152.9583,-3.9525E+002
153.0000,-3.9533E+002
153.0417,-3.9543E+002
153.0833,-3.9552E+002
153.1250,-3.9562E+002
153.1667,-3.9572E+002
153.2083,-3.9583E+002
153.2500,-3.9595E+002
153.2917,-3.9607E+002
153.3333,-3.9618E+002
153.3750,-3.9630E+002
153.4167,-3.9645E+002
153.4583,-3.9659E+002
153.5000,-3.9669E+002
153.5417,-3.9676E+002
153.5833,-3.9699E+002
153.6250,-3.9716E+002
153.6667,-3.9730E+002
153.7083,-3.9729E+002
153.7500,-3.9735E+002
153.7917,-3.9768E+002
153.8333,-3.9791E+002
153.8750,-3.9808E+002
153.9167,-3.9814E+002
153.9583,-3.9817E+002
154.0000,-3.9842E+002
154.0417,-3.9867E+002
154.0833,-3.9885E+002
154.1250,-3.9896E+002
154.1667,-3.9895E+002
154.2083,-3.9917E+002
154.2500,-3.9944E+002
154.2917,-3.9963E+002
154.3333,-3.9975E+002
154.3750,-3.9962E+002
154.4167,-3.9960E+002
154.4583,-4.0002E+002
154.5000,-4.0038E+002
154.5417,-4.0058E+002
154.5833,-4.0069E+002
154.6250,-4.0047E+002
154.6667,-4.0024E+002
154.7083,-4.0024E+002
154.7500,-4.0091E+002
154.7917,-4.0128E+002
154.8333,-4.0160E+002
154.8750,-4.0180E+002
154.9167,-4.0183E+002
154.9583,-4.0153E+002
155.0000,-4.0125E+002
155.0417,-4.0102E+002
155.0833,-4.0133E+002
155.1250,-4.0208E+002
155.1667,-4.0255E+002
155.2083,-4.0277E+002
155.2500,-4.0298E+002
155.2917,-4.0292E+002
155.3333,-4.0291E+002
155.3750,-4.0260E+002
155.4167,-4.0230E+002
155.4583,-4.0205E+002
155.5000,-4.0206E+002
155.5417,-4.0274E+002
155.5833,-4.0313E+002
155.6250,-4.0345E+002
155.6667,-4.0366E+002
155.7083,-4.0382E+002
155.7500,-4.0385E+002
155.7917,-4.0382E+002
155.8333,-4.0380E+002
155.8750,-4.0389E+002
155.9167,-4.0393E+002
155.9583,-4.0390E+002
156.0000,-4.0386E+002
156.0417,-4.0389E+002
156.0833,-4.0390E+002
156.1250,-4.0387E+002
156.1667,-4.0389E+002
156.2083,-4.0394E+002
156.2500,-4.0395E+002
156.2917,-4.0398E+002
156.3333,-4.0400E+002
156.3750,-4.0406E+002
156.4167,-4.0410E+002
156.4583,-4.0419E+002
156.5000,-4.0429E+002
156.5417,-4.0439E+002
156.5833,-4.0453E+002
156.6250,-4.0462E+002
156.6667,-4.0475E+002
156.7083,-4.0487E+002
156.7500,-4.0502E+002
156.7917,-4.0514E+002
156.8333,-4.0529E+002
156.8750,-4.0543E+002
156.9167,-4.0558E+002
156.9583,-4.0573E+002
157.0000,-4.0587E+002
157.0417,-4.0604E+002
157.0833,-4.0616E+002
157.1250,-4.0630E+002
157.1667,-4.0641E+002
157.2083,-4.0652E+002
157.2500,-4.0659E+002
157.2917,-4.0659E+002
157.3333,-4.0660E+002
157.3750,-4.0664E+002
157.4167,-4.0669E+002
157.4583,-4.0670E+002
157.5000,-4.0672E+002
157.5417,-4.0668E+002
157.5833,-4.0667E+002
157.6250,-4.0663E+002
157.6667,-4.0661E+002
157.7083,-4.0656E+002
