"",33.000
243.0000,0.0000E+000
244.0000,1.3424E+002
245.0000,9.5854E+001
246.0000,7.2005E+001
247.0000,4.4537E+001
248.0000,2.7974E+001
249.0000,5.2301E+001
250.0000,7.3663E+001
251.0000,5.2698E+001
252.0000,4.7833E+001
253.0000,4.2174E+001
254.0000,2.2321E+001
255.0000,1.0386E+001
256.0000,1.1037E+001
257.0000,1.7803E+001
258.0000,1.1328E+001
259.0000,5.3780E+000
260.0000,8.6946E+000
261.0000,4.6590E+000
262.0000,4.7768E-001
263.0000,4.0956E+000
264.0000,-3.5925E+000
265.0000,-4.4434E+000
266.0000,9.9139E+000
267.0000,1.3678E+000
268.0000,-1.2834E+001
269.0000,-2.3921E+001
270.0000,-1.1384E+001
271.0000,-2.3576E+001
272.0000,-2.9617E+001
273.0000,-8.7345E+001
274.0000,-8.6540E+001
275.0000,-5.0288E+001
276.0000,-4.7240E+001
277.0000,-4.4650E+001
278.0000,-3.0324E+001
279.0000,-2.4993E+001
280.0000,-2.8943E+001
281.0000,-2.3931E+001
282.0000,-1.8939E+001
283.0000,-7.2084E+000
284.0000,-4.3982E+000
285.0000,6.9675E+000
286.0000,-2.0075E+001
287.0000,-1.8072E+001
288.0000,2.8139E+000
289.0000,-1.2669E+001
290.0000,-1.3789E+001
291.0000,-3.5842E+001
292.0000,-5.6849E+001
293.0000,-6.6834E+001
294.0000,-3.9757E+001
295.0000,-2.9880E+001
296.0000,-2.4059E+001
297.0000,4.1624E-001
298.0000,-4.5699E+001
299.0000,-5.6479E+001
300.0000,-4.3340E+001
301.0000,-3.1661E+001
302.0000,-8.9508E+001
303.0000,-1.7641E+002
304.0000,-6.8319E+001
305.0000,-1.7369E+001
306.0000,-1.2363E+002
307.0000,-4.6780E+001
308.0000,-2.0594E+001
309.0000,-1.7305E+001
310.0000,7.2014E+000
311.0000,5.8435E+000
312.0000,-2.2938E+001
313.0000,-1.2328E+002
314.0000,-3.6460E+001
315.0000,-1.7652E+001
316.0000,-7.4415E+000
317.0000,-3.3260E+001
318.0000,-1.0126E+002
319.0000,-6.2014E+001
320.0000,-4.1069E+001
321.0000,-5.7069E+001
322.0000,-3.4613E+001
323.0000,-7.7171E+000
324.0000,-5.0190E+001
325.0000,-4.5638E+001
326.0000,-2.1901E+001
327.0000,1.6853E+001
328.0000,-3.5021E+001
329.0000,-1.5076E+001
330.0000,5.7674E+001
331.0000,-9.0956E+001
332.0000,-7.3485E+001
333.0000,-5.0329E+001
334.0000,-5.6276E+001
335.0000,-4.6343E+001
336.0000,-5.9182E+001
337.0000,-8.4154E+001
338.0000,-7.0692E+001
339.0000,-2.7052E+001
340.0000,1.6007E+001
341.0000,-7.6138E+001
342.0000,-2.3029E+001
343.0000,-2.0618E+002
344.0000,-1.3625E+002
345.0000,-2.6499E+001
346.0000,-2.0119E+002
347.0000,-1.5814E+002
348.0000,-3.8740E+001
349.0000,1.8586E-001
350.0000,-3.5933E+001
351.0000,-2.7131E+001
352.0000,-3.0417E+001
353.0000,-4.3113E+001
354.0000,-2.0790E+001
355.0000,-1.4437E+001
356.0000,-6.9037E+001
357.0000,-7.1847E+001
358.0000,-9.5061E+001
359.0000,-8.3170E+001
360.0000,-1.2460E+002
361.0000,-1.1601E+002
362.0000,-6.4404E+001
363.0000,-8.0157E+001
364.0000,-6.3552E+001
365.0000,-4.9982E+001
366.0000,3.5349E+000
367.0000,-5.4661E+001
368.0000,-2.0273E+002
369.0000,-1.6560E+002
370.0000,-6.8484E+001
371.0000,-6.9955E+001
372.0000,-7.5298E+001
373.0000,-1.7007E+002
374.0000,-7.1135E+001
375.0000,-5.0928E+001
376.0000,-8.9590E+001
377.0000,-7.3215E+001
378.0000,-3.1841E+001
379.0000,-2.7920E+001
380.0000,-5.5703E+001
381.0000,-2.3699E+001
382.0000,-1.7975E+002
383.0000,-2.1435E+002
384.0000,-5.8900E+001
385.0000,-3.5952E+001
386.0000,-1.7549E+002
387.0000,-2.2683E+002
388.0000,-6.4453E+001
389.0000,-1.7891E+001
390.0000,-9.6504E+001
391.0000,-5.3368E+001
392.0000,-8.1102E+001
393.0000,-6.0126E+001
394.0000,-8.3804E+001
395.0000,-1.0470E+002
396.0000,-4.4937E+001
397.0000,-1.2665E+002
398.0000,-1.9784E+002
399.0000,-5.7413E+001
400.0000,-2.5005E+001
401.0000,-8.2857E+001
402.0000,-9.7322E+001
403.0000,-1.4951E+002
404.0000,-1.5335E+002
405.0000,-1.0094E+002
406.0000,-6.3441E+001
407.0000,-5.3320E+001
408.0000,7.2629E+000
409.0000,-2.7871E+001
410.0000,-8.3571E+001
411.0000,-9.9601E+001
412.0000,-1.1244E+002
413.0000,-4.6714E+001
414.0000,-4.6902E+001
415.0000,-3.2610E+001
416.0000,-2.2135E+001
417.0000,-1.2337E+002
418.0000,-1.7426E+002
419.0000,-5.9706E+001
420.0000,-3.3003E+001
421.0000,-2.6123E+001
422.0000,-4.5576E+000
423.0000,-1.5214E+001
424.0000,-5.9861E+000
425.0000,2.1981E+000
426.0000,1.4030E+000
427.0000,1.6327E+001
428.0000,5.1168E+001
429.0000,1.7446E+001
430.0000,-3.6966E+001
431.0000,-2.3119E+001
432.0000,-2.8316E+001
433.0000,-4.3430E+001
434.0000,-2.2591E+001
435.0000,-2.9493E+001
436.0000,-2.8459E+000
437.0000,3.7929E+001
438.0000,2.1148E+001
439.0000,4.2173E+001
440.0000,1.4755E+001
441.0000,-3.9861E+000
442.0000,1.0715E+001
443.0000,1.5124E+001
444.0000,4.4430E+000
445.0000,8.9979E+000
446.0000,4.9764E+001
447.0000,7.6022E+001
448.0000,3.6430E+001
449.0000,4.7098E+000
450.0000,-1.2311E+001
451.0000,-2.7473E+001
452.0000,-4.9692E+001
453.0000,3.6170E+001
454.0000,5.8629E+001
455.0000,-9.9981E+001
456.0000,-5.6772E+001
457.0000,2.1243E+001
458.0000,6.9038E+001
459.0000,-9.1705E+001
460.0000,-1.0556E+002
461.0000,-2.0343E+001
462.0000,4.2850E+000
463.0000,-1.6647E+001
464.0000,-3.7965E+001
465.0000,-1.3455E+001
466.0000,-2.0690E+001
467.0000,-4.6396E+001
468.0000,-2.8351E+001
469.0000,-1.8821E+001
470.0000,-2.9116E+001
471.0000,1.3164E+001
472.0000,8.3327E+001
473.0000,2.8408E+001
474.0000,4.4747E+000
475.0000,1.9901E+000
476.0000,-4.3641E-002
