Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000      0.179700      0.620144E-02   0.00000      -95.8758      -3.81726      -38.1629       162.909       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       17.3178       17.3178       17.3178      0.212524      0.733249E-02   0.00000      -74.9935       9.44720      -23.5628       206.675       0.00000      -399.586       11.5500      0.500000       5.00000       4.00000       2.90860       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       17.5471       17.5471       17.5471      0.146962      0.506819E-02   0.00000      -194.560      -15.2737      -82.6030       305.294       0.00000      -400.849       11.5500      0.500000       5.00000       4.00000       2.95868       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       17.7389       17.7389       17.7389      0.136532      0.470675E-02   0.00000      -231.738      -20.4464      -107.793       321.534       0.00000      -401.908       11.5500      0.500000       5.00000       4.00000       3.00058       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       17.8934       17.8934       17.8934      0.118917      0.409824E-02   0.00000      -225.384      -18.3936      -100.571       331.818       0.00000      -402.763       11.5500      0.500000       5.00000       4.00000       3.03432       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       18.0774       18.0774       18.0774      0.679893E-01  0.234227E-02   0.00000      -166.831      -6.49100      -59.3183       327.869       0.00000      -403.782       11.5500      0.500000       5.00000       4.00000       3.07451       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       18.3864       18.3587       18.0774      0.801461E-01  0.275941E-02   0.00000      -179.290      -11.7233      -64.4876       316.456       0.00000      -405.499       9.47764      0.500000       5.00000       4.00000       3.07451       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       18.6810       18.5974       18.0774      0.174281      0.599696E-02  0.727359E-02  -285.199      -44.3748      -132.328       300.271       0.00000      -407.140       8.34896      0.500000       5.00000       4.00000       3.07451       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       18.6815       18.6187       18.0751      0.219443      0.755097E-02  0.101972E-01  -350.424      -72.5946      -186.904       209.287       0.00000      -407.143       9.26353      0.523218       5.00000       4.00000       3.07399       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       18.3617       18.3617       18.3617      0.180510      0.621520E-02  0.113770E-01  -299.022      -70.7436      -155.296       90.2040       0.00000      -405.361       11.5500      0.500000       5.00000       4.00000       3.13660       0.00000       0.00000       0.00000       0.00000    
