"",32.500
149.0000,0.0000E+000
149.0417,3.7260E+002
149.0833,3.7253E+002
149.1250,3.7247E+002
149.1667,3.7241E+002
149.2083,3.7234E+002
149.2500,3.7228E+002
149.2917,3.7221E+002
149.3333,3.7215E+002
149.3750,3.7209E+002
149.4167,3.7202E+002
149.4583,3.7196E+002
149.5000,3.7190E+002
149.5417,3.7183E+002
149.5833,3.7177E+002
149.6250,3.7170E+002
149.6667,3.7164E+002
149.7083,3.7158E+002
149.7500,3.7151E+002
149.7917,3.7145E+002
149.8333,3.7139E+002
149.8750,3.7132E+002
149.9167,3.7126E+002
149.9583,3.7120E+002
150.0000,3.7113E+002
150.0417,3.6931E+002
150.0833,3.6749E+002
150.1250,3.6567E+002
150.1667,3.6385E+002
150.2083,3.6202E+002
150.2500,3.6020E+002
150.2917,3.5838E+002
150.3333,3.5656E+002
150.3750,3.5474E+002
150.4167,3.5292E+002
150.4583,3.5110E+002
150.5000,3.4927E+002
150.5417,3.4745E+002
150.5833,3.4563E+002
150.6250,3.4381E+002
150.6667,3.4199E+002
150.7083,3.4017E+002
150.7500,3.3835E+002
150.7917,3.3652E+002
150.8333,3.3470E+002
150.8750,3.3288E+002
150.9167,3.3106E+002
150.9583,3.2924E+002
151.0000,3.2742E+002
151.0417,3.2678E+002
151.0833,3.2614E+002
151.1250,3.2550E+002
151.1667,3.2487E+002
151.2083,3.2423E+002
151.2500,3.2359E+002
151.2917,3.2295E+002
151.3333,3.2231E+002
151.3750,3.2168E+002
151.4167,3.2104E+002
151.4583,3.2040E+002
151.5000,3.1976E+002
151.5417,3.1912E+002
151.5833,3.1849E+002
151.6250,3.1785E+002
151.6667,3.1721E+002
151.7083,3.1657E+002
151.7500,3.1593E+002
151.7917,3.1530E+002
151.8333,3.1466E+002
151.8750,3.1402E+002
151.9167,3.1338E+002
151.9583,3.1275E+002
152.0000,3.1211E+002
152.0417,3.1189E+002
152.0833,3.1168E+002
152.1250,3.1147E+002
152.1667,3.1125E+002
152.2083,3.1104E+002
152.2500,3.1082E+002
152.2917,3.1061E+002
152.3333,3.1040E+002
152.3750,3.1018E+002
152.4167,3.0997E+002
152.4583,3.0976E+002
152.5000,3.0954E+002
152.5417,3.0933E+002
152.5833,3.0911E+002
152.6250,3.0890E+002
152.6667,3.0869E+002
152.7083,3.0847E+002
152.7500,3.0826E+002
152.7917,3.0804E+002
152.8333,3.0783E+002
152.8750,3.0762E+002
152.9167,3.0740E+002
152.9583,3.0719E+002
153.0000,3.0698E+002
153.0417,3.0712E+002
153.0833,3.0727E+002
153.1250,3.0742E+002
153.1667,3.0757E+002
153.2083,3.0772E+002
153.2500,3.0787E+002
153.2917,3.0802E+002
153.3333,3.0817E+002
153.3750,3.0832E+002
153.4167,3.0846E+002
153.4583,3.0861E+002
153.5000,3.0876E+002
153.5417,3.0891E+002
153.5833,3.0906E+002
153.6250,3.0921E+002
153.6667,3.0936E+002
153.7083,3.0951E+002
153.7500,3.0966E+002
