"",32.500
149.0000,0.0000E+000
149.0417,-1.6536E+000
149.0833,-1.5681E+000
149.1250,-1.4820E+000
149.1667,-8.8459E-001
149.2083,-1.6749E-001
149.2500,5.5314E-001
149.2917,1.3742E+000
149.3333,2.1029E+000
149.3750,2.7629E+000
149.4167,3.3265E+000
149.4583,3.8063E+000
149.5000,4.1624E+000
149.5417,4.5079E+000
149.5833,4.9081E+000
149.6250,5.4200E+000
149.6667,6.0459E+000
149.7083,6.5733E+000
149.7500,7.0957E+000
149.7917,7.5974E+000
149.8333,8.1502E+000
149.8750,8.7275E+000
149.9167,9.3712E+000
149.9583,1.0060E+001
150.0000,1.0784E+001
150.0417,9.9534E+000
150.0833,9.1748E+000
150.1250,8.4108E+000
150.1667,7.6283E+000
150.2083,6.8388E+000
150.2500,6.0109E+000
150.2917,5.1001E+000
150.3333,4.1743E+000
150.3750,3.2838E+000
150.4167,2.3587E+000
150.4583,1.4868E+000
150.5000,8.1895E-001
150.5417,4.3508E-002
150.5833,-6.9655E-001
150.6250,-1.5361E+000
150.6667,-2.2805E+000
150.7083,-3.0338E+000
150.7500,-3.7082E+000
150.7917,-4.4218E+000
150.8333,-5.1374E+000
150.8750,-5.9108E+000
150.9167,-6.6138E+000
150.9583,-7.2863E+000
151.0000,-7.9274E+000
151.0417,-8.1408E+000
151.0833,-8.3701E+000
151.1250,-8.6364E+000
151.1667,-8.8951E+000
151.2083,-9.1747E+000
151.2500,-9.4054E+000
151.2917,-9.6464E+000
151.3333,-9.8698E+000
151.3750,-1.0120E+001
151.4167,-1.0355E+001
151.4583,-1.0614E+001
151.5000,-1.0842E+001
151.5417,-1.1086E+001
151.5833,-1.1301E+001
151.6250,-1.1538E+001
151.6667,-1.1755E+001
151.7083,-1.1996E+001
151.7500,-1.2212E+001
151.7917,-1.2447E+001
151.8333,-1.2655E+001
151.8750,-1.2882E+001
151.9167,-1.3090E+001
151.9583,-1.3317E+001
152.0000,-1.3528E+001
152.0417,-1.3522E+001
152.0833,-1.3505E+001
152.1250,-1.3500E+001
152.1667,-1.3488E+001
152.2083,-1.3486E+001
152.2500,-1.3481E+001
152.2917,-1.3483E+001
152.3333,-1.3481E+001
152.3750,-1.3486E+001
152.4167,-1.3485E+001
152.4583,-1.3493E+001
152.5000,-1.3494E+001
152.5417,-1.3504E+001
152.5833,-1.3505E+001
152.6250,-1.3517E+001
152.6667,-1.3520E+001
152.7083,-1.3533E+001
152.7500,-1.3539E+001
152.7917,-1.3555E+001
152.8333,-1.3564E+001
152.8750,-1.3582E+001
152.9167,-1.3595E+001
152.9583,-1.3614E+001
153.0000,-1.3629E+001
153.0417,-1.3248E+001
153.0833,-1.2873E+001
153.1250,-1.2511E+001
153.1667,-1.2154E+001
153.2083,-1.1815E+001
153.2500,-1.1475E+001
153.2917,-1.1154E+001
153.3333,-1.0829E+001
153.3750,-1.0523E+001
153.4167,-1.0214E+001
153.4583,-9.9256E+000
