"",32.500
149.0000,0.0000E+000
149.0417,1.0477E+002
149.0833,1.0593E+002
149.1250,1.0709E+002
149.1667,1.0825E+002
149.2083,1.0941E+002
149.2500,1.1057E+002
149.2917,1.1173E+002
149.3333,1.1289E+002
149.3750,1.1405E+002
149.4167,1.1521E+002
149.4583,1.1637E+002
149.5000,1.1753E+002
149.5417,1.1869E+002
149.5833,1.1985E+002
149.6250,1.2101E+002
149.6667,1.2217E+002
149.7083,1.2333E+002
149.7500,1.2449E+002
149.7917,1.2565E+002
149.8333,1.2681E+002
149.8750,1.2797E+002
149.9167,1.2913E+002
149.9583,1.3029E+002
150.0000,1.3145E+002
150.0417,1.3406E+002
150.0833,1.3668E+002
150.1250,1.3929E+002
150.1667,1.4190E+002
150.2083,1.4452E+002
150.2500,1.4713E+002
150.2917,1.4975E+002
150.3333,1.5236E+002
150.3750,1.5497E+002
150.4167,1.5759E+002
150.4583,1.6020E+002
150.5000,1.6281E+002
150.5417,1.6543E+002
150.5833,1.6804E+002
150.6250,1.7066E+002
150.6667,1.7327E+002
150.7083,1.7588E+002
150.7500,1.7850E+002
150.7917,1.8111E+002
150.8333,1.8372E+002
150.8750,1.8634E+002
150.9167,1.8895E+002
150.9583,1.9157E+002
151.0000,1.9417E+002
151.0417,1.9460E+002
151.0833,1.9503E+002
151.1250,1.9547E+002
151.1667,1.9590E+002
151.2083,1.9633E+002
151.2500,1.9676E+002
151.2917,1.9719E+002
151.3333,1.9762E+002
151.3750,1.9805E+002
151.4167,1.9848E+002
151.4583,1.9891E+002
151.5000,1.9934E+002
151.5417,1.9977E+002
151.5833,2.0020E+002
151.6250,2.0063E+002
151.6667,2.0106E+002
151.7083,2.0150E+002
151.7500,2.0193E+002
151.7917,2.0236E+002
151.8333,2.0279E+002
151.8750,2.0322E+002
151.9167,2.0365E+002
151.9583,2.0408E+002
152.0000,2.0451E+002
152.0417,2.0478E+002
152.0833,2.0506E+002
152.1250,2.0533E+002
152.1667,2.0560E+002
152.2083,2.0587E+002
152.2500,2.0615E+002
152.2917,2.0642E+002
152.3333,2.0669E+002
152.3750,2.0697E+002
152.4167,2.0724E+002
152.4583,2.0751E+002
152.5000,2.0778E+002
152.5417,2.0806E+002
152.5833,2.0833E+002
152.6250,2.0860E+002
152.6667,2.0888E+002
152.7083,2.0915E+002
152.7500,2.0942E+002
152.7917,2.0969E+002
152.8333,2.0997E+002
152.8750,2.1024E+002
152.9167,2.1051E+002
152.9583,2.1079E+002
153.0000,2.1106E+002
153.0417,2.1095E+002
153.0833,2.1085E+002
153.1250,2.1075E+002
153.1667,2.1064E+002
153.2083,2.1054E+002
153.2500,2.1043E+002
153.2917,2.1033E+002
153.3333,2.1022E+002
153.3750,2.1012E+002
153.4167,2.1002E+002
153.4583,2.0991E+002
153.5000,2.0981E+002
153.5417,2.0970E+002
153.5833,2.0960E+002
153.6250,2.0949E+002
153.6667,2.0939E+002
153.7083,2.0928E+002
153.7500,2.0918E+002
153.7917,2.0908E+002
153.8333,2.0897E+002
153.8750,2.0887E+002
153.9167,2.0876E+002
153.9583,2.0866E+002
154.0000,2.0855E+002
154.0417,2.0825E+002
154.0833,2.0795E+002
154.1250,2.0765E+002
154.1667,2.0735E+002
154.2083,2.0704E+002
154.2500,2.0674E+002
154.2917,2.0644E+002
154.3333,2.0614E+002
154.3750,2.0583E+002
154.4167,2.0553E+002
154.4583,2.0523E+002
154.5000,2.0493E+002
154.5417,2.0463E+002
154.5833,2.0432E+002
154.6250,2.0402E+002
154.6667,2.0372E+002
154.7083,2.0342E+002
154.7500,2.0311E+002
154.7917,2.0281E+002
154.8333,2.0251E+002
154.8750,2.0221E+002
154.9167,2.0191E+002
154.9583,2.0160E+002
155.0000,2.0130E+002
155.0417,2.0087E+002
155.0833,2.0044E+002
155.1250,2.0002E+002
155.1667,1.9959E+002
155.2083,1.9916E+002
155.2500,1.9873E+002
155.2917,1.9830E+002
155.3333,1.9787E+002
155.3750,1.9744E+002
155.4167,1.9701E+002
155.4583,1.9659E+002
155.5000,1.9616E+002
155.5417,1.9573E+002
155.5833,1.9530E+002
155.6250,1.9487E+002
155.6667,1.9444E+002
155.7083,1.9401E+002
155.7500,1.9359E+002
155.7917,1.9316E+002
155.8333,1.9273E+002
155.8750,1.9230E+002
155.9167,1.9187E+002
155.9583,1.9144E+002
156.0000,1.9101E+002
156.0417,1.8860E+002
156.0833,1.8619E+002
156.1250,1.8378E+002
156.1667,1.8137E+002
156.2083,1.7896E+002
156.2500,1.7655E+002
156.2917,1.7413E+002
156.3333,1.7172E+002
156.3750,1.6931E+002
156.4167,1.6690E+002
156.4583,1.6449E+002
156.5000,1.6208E+002
156.5417,1.5967E+002
156.5833,1.5725E+002
156.6250,1.5484E+002
156.6667,1.5243E+002
156.7083,1.5002E+002
156.7500,1.4761E+002
156.7917,1.4520E+002
156.8333,1.4279E+002
156.8750,1.4037E+002
156.9167,1.3796E+002
156.9583,1.3555E+002
157.0000,1.3314E+002
157.0417,1.2998E+002
157.0833,1.2683E+002
157.1250,1.2367E+002
157.1667,1.2051E+002
157.2083,1.1736E+002
157.2500,1.1420E+002
157.2917,1.1105E+002
157.3333,1.0789E+002
157.3750,1.0473E+002
157.4167,1.0158E+002
157.4583,9.8420E+001
157.5000,9.5264E+001
157.5417,9.2107E+001
157.5833,8.8951E+001
157.6250,8.5794E+001
157.6667,8.2638E+001
157.7083,7.9481E+001
157.7500,7.6325E+001
157.7917,7.3169E+001
157.8333,7.0012E+001
157.8750,6.6856E+001
157.9167,6.3699E+001
157.9583,6.0543E+001
158.0000,5.7386E+001
158.0417,6.3504E+001
158.0833,6.9622E+001
158.1250,7.5740E+001
158.1667,8.1858E+001
158.2083,8.7975E+001
158.2500,9.4093E+001
158.2917,1.0021E+002
158.3333,1.0633E+002
158.3750,1.1245E+002
158.4167,1.1857E+002
158.4583,1.2468E+002
158.5000,1.3080E+002
158.5417,1.3692E+002
158.5833,1.4304E+002
158.6250,1.4916E+002
158.6667,1.5527E+002
158.7083,1.6139E+002
158.7500,1.6751E+002
158.7917,1.7363E+002
158.8333,1.7975E+002
158.8750,1.8586E+002
158.9167,1.9198E+002
158.9583,1.9810E+002
159.0000,2.0422E+002
159.0417,2.0447E+002
159.0833,2.0472E+002
159.1250,2.0497E+002
159.1667,2.0522E+002
159.2083,2.0547E+002
159.2500,2.0572E+002
159.2917,2.0597E+002
159.3333,2.0622E+002
159.3750,2.0647E+002
159.4167,2.0672E+002
159.4583,2.0697E+002
159.5000,2.0722E+002
159.5417,2.0747E+002
159.5833,2.0772E+002
159.6250,2.0797E+002
159.6667,2.0822E+002
159.7083,2.0847E+002
159.7500,2.0872E+002
159.7917,2.0897E+002
159.8333,2.0922E+002
159.8750,2.0947E+002
159.9167,2.0972E+002
159.9583,2.0997E+002
160.0000,2.1022E+002
160.0417,2.0524E+002
160.0833,2.0026E+002
160.1250,1.9527E+002
160.1667,1.9029E+002
160.2083,1.8531E+002
160.2500,1.8032E+002
160.2917,1.7534E+002
160.3333,1.7036E+002
160.3750,1.6537E+002
160.4167,1.6039E+002
160.4583,1.5540E+002
160.5000,1.5042E+002
160.5417,1.4544E+002
160.5833,1.4045E+002
160.6250,1.3547E+002
160.6667,1.3049E+002
160.7083,1.2550E+002
160.7500,1.2052E+002
160.7917,1.1553E+002
160.8333,1.1055E+002
160.8750,1.0557E+002
160.9167,1.0058E+002
160.9583,9.5599E+001
161.0000,9.0615E+001
161.0417,8.9013E+001
161.0833,8.7412E+001
161.1250,8.5810E+001
161.1667,8.4208E+001
161.2083,8.2607E+001
161.2500,8.1005E+001
161.2917,7.9403E+001
161.3333,7.7802E+001
161.3750,7.6200E+001
161.4167,7.4598E+001
161.4583,7.2997E+001
161.5000,7.1395E+001
161.5417,6.9793E+001
161.5833,6.8192E+001
161.6250,6.6590E+001
161.6667,6.4988E+001
161.7083,6.3387E+001
161.7500,6.1785E+001
161.7917,6.0183E+001
161.8333,5.8582E+001
161.8750,5.6980E+001
161.9167,5.5378E+001
161.9583,5.3776E+001
162.0000,5.2175E+001
162.0417,5.6831E+001
162.0833,6.1488E+001
162.1250,6.6145E+001
162.1667,7.0801E+001
162.2083,7.5458E+001
162.2500,8.0115E+001
162.2917,8.4771E+001
162.3333,8.9428E+001
162.3750,9.4085E+001
162.4167,9.8742E+001
162.4583,1.0340E+002
162.5000,1.0806E+002
162.5417,1.1271E+002
162.5833,1.1737E+002
162.6250,1.2203E+002
162.6667,1.2668E+002
162.7083,1.3134E+002
162.7500,1.3600E+002
162.7917,1.4065E+002
162.8333,1.4531E+002
162.8750,1.4997E+002
162.9167,1.5462E+002
162.9583,1.5928E+002
163.0000,1.6394E+002
163.0417,1.6029E+002
163.0833,1.5664E+002
163.1250,1.5298E+002
163.1667,1.4933E+002
163.2083,1.4568E+002
163.2500,1.4203E+002
163.2917,1.3838E+002
163.3333,1.3473E+002
163.3750,1.3107E+002
163.4167,1.2742E+002
163.4583,1.2377E+002
163.5000,1.2012E+002
163.5417,1.1647E+002
163.5833,1.1282E+002
