Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000      0.408063      0.140822E-01   0.00000      -185.829       20.0242      -123.118       308.882       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       17.4175       17.4175       17.4175      0.250650      0.864625E-02  0.676122E-02  -294.723      -17.6520      -180.690       317.234       0.00000      -400.135       11.5500      0.500000       5.00000       4.00000       2.93038       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       17.4523       17.4523       17.4523      0.357159      0.123195E-01  0.102153E-01  -403.756      -59.2486      -242.402       295.073       0.00000      -400.326       11.5500      0.500000       5.00000       4.00000       2.93798       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       17.2534       17.2534       17.2534      0.253165      0.873582E-02  0.922882E-02  -350.142      -50.8428      -201.072       283.433       0.00000      -399.231       11.5500      0.500000       5.00000       4.00000       2.89453       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       17.1293       17.1293       17.1293      0.106672      0.368175E-02   0.00000      -218.559      -19.9418      -93.2459       326.043       0.00000      -398.550       11.5500      0.500000       5.00000       4.00000       2.86744       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       17.3155       17.3155       17.3155      0.291294      0.100503E-01  0.730826E-02  -279.547      -13.2695      -182.091       279.057       0.00000      -399.573       11.5500      0.500000       5.00000       4.00000       2.90811       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       17.3094       17.3094       17.3094      0.356559      0.123022E-01  0.639465E-02  -271.440      -8.15428      -176.275       296.765       0.00000      -399.540       11.5500      0.500000       5.00000       4.00000       2.90677       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       17.3492       17.3492       17.3492      0.276921      0.955375E-02  0.496408E-02  -225.467      -1.66331      -145.875       267.440       0.00000      -399.759       11.5500      0.500000       5.00000       4.00000       2.91546       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       17.4187       17.4187       17.4187      0.156628      0.540291E-02   0.00000      -179.254      -4.95888      -86.0822       298.084       0.00000      -400.141       11.5500      0.500000       5.00000       4.00000       2.93064       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       17.6250       17.6250       17.6250      0.221135      0.762502E-02  0.742122E-02  -241.442      -23.2716      -142.079       227.326       0.00000      -401.279       11.5500      0.500000       5.00000       4.00000       2.97570       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       17.5945       17.5945       17.5945      0.217704      0.750714E-02   0.00000      -219.534      -11.9594      -111.848       317.950       0.00000      -401.110       11.5500      0.500000       5.00000       4.00000       2.96903       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       17.7644       17.7644       17.7644      0.325870      0.112333E-01  0.899736E-02  -210.553      -24.7769      -133.846       119.951       0.00000      -402.049       11.5500      0.500000       5.00000       4.00000       3.00613       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       17.5976       17.5976       17.5976      0.305171      0.105232E-01   0.00000      -126.803      -1.97418      -58.7914       212.910       0.00000      -401.128       11.5500      0.500000       5.00000       4.00000       2.96971       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       17.7456       17.7456       17.7456      0.287179      0.989993E-02   0.00000      -152.847       3.82494      -82.8188       251.473       0.00000      -401.945       11.5500      0.500000       5.00000       4.00000       3.00204       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       17.9158       17.9158       17.9158      0.412590      0.142185E-01  0.904652E-02  -284.024      -26.0078      -185.644       214.995       0.00000      -402.887       11.5500      0.500000       5.00000       4.00000       3.03921       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       17.7874       17.7874       17.7874      0.231216      0.797008E-02   0.00000      -216.235       15.1366      -146.217       322.127       0.00000      -402.176       11.5500      0.500000       5.00000       4.00000       3.01116       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       17.9705       17.9705       17.9705      0.444539      0.153179E-01   0.00000      -120.065       68.0714      -117.831       323.763       0.00000      -403.190       11.5500      0.500000       5.00000       4.00000       3.05116       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       18.3278       18.3278       18.3278      0.543363      0.187100E-01  0.796295E-02  -122.156       2.68993      -79.2693       56.3012       0.00000      -405.172       11.5500      0.500000       5.00000       4.00000       3.12918       0.00000       0.00000       0.00000       0.00000    
       18   18.0000       18.2049       18.2049       18.2049      0.246782      0.849967E-02  0.664543E-02  -131.298      -18.0821      -61.4984       110.898       0.00000      -404.490       11.5500      0.500000       5.00000       4.00000       3.10235       0.00000       0.00000       0.00000       0.00000    
       19   19.0000       18.1630       18.1630       18.1630      0.322007      0.110915E-01   0.00000      -235.585      -10.5605      -131.297       311.402       0.00000      -404.257       11.5500      0.500000       5.00000       4.00000       3.09320       0.00000       0.00000       0.00000       0.00000    
       20   20.0000       18.2924       18.2924       18.2924      0.137122      0.472195E-02  0.856641E-02  -194.529      -31.7944      -101.323       125.169       0.00000      -404.976       11.5500      0.500000       5.00000       4.00000       3.12146       0.00000       0.00000       0.00000       0.00000    
       21   21.0000       18.1633       18.1633       18.1633      0.122932      0.423436E-02   0.00000      -164.278      -9.77163      -65.0232       283.600       0.00000      -404.259       11.5500      0.500000       5.00000       4.00000       3.09326       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       18.3702       18.3702       18.3702      0.224091      0.771564E-02  0.412051E-02  -186.014     -0.973125E-01  -116.040       228.516       0.00000      -405.408       11.5500      0.500000       5.00000       4.00000       3.13845       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       18.4402       18.4402       18.4402      0.275600      0.948781E-02   0.00000      -131.588      -6.53401      -64.9379       176.958       0.00000      -405.798       11.5500      0.500000       5.00000       4.00000       3.15374       0.00000       0.00000       0.00000       0.00000    
