"",32.500
149.0000,0.0000E+000
149.0417,-3.9016E+002
149.0833,-3.9079E+002
149.1250,-3.9139E+002
149.1667,-3.9189E+002
149.2083,-3.9205E+002
149.2500,-3.9203E+002
149.2917,-3.9238E+002
149.3333,-3.9281E+002
149.3750,-3.9322E+002
149.4167,-3.9363E+002
149.4583,-3.9402E+002
149.5000,-3.9440E+002
149.5417,-3.9475E+002
149.5833,-3.9509E+002
149.6250,-3.9542E+002
149.6667,-3.9572E+002
149.7083,-3.9601E+002
149.7500,-3.9629E+002
149.7917,-3.9655E+002
149.8333,-3.9679E+002
149.8750,-3.9701E+002
149.9167,-3.9719E+002
149.9583,-3.9730E+002
150.0000,-3.9729E+002
150.0417,-3.9719E+002
150.0833,-3.9709E+002
150.1250,-3.9710E+002
150.1667,-3.9717E+002
150.2083,-3.9729E+002
150.2500,-3.9743E+002
150.2917,-3.9757E+002
150.3333,-3.9771E+002
150.3750,-3.9787E+002
150.4167,-3.9800E+002
150.4583,-3.9806E+002
150.5000,-3.9815E+002
150.5417,-3.9828E+002
150.5833,-3.9824E+002
150.6250,-3.9813E+002
150.6667,-3.9811E+002
150.7083,-3.9828E+002
150.7500,-3.9832E+002
150.7917,-3.9817E+002
150.8333,-3.9800E+002
150.8750,-3.9793E+002
150.9167,-3.9793E+002
150.9583,-3.9790E+002
151.0000,-3.9777E+002
151.0417,-3.9773E+002
151.0833,-3.9784E+002
151.1250,-3.9787E+002
151.1667,-3.9782E+002
151.2083,-3.9767E+002
151.2500,-3.9780E+002
151.2917,-3.9793E+002
151.3333,-3.9792E+002
151.3750,-3.9773E+002
151.4167,-3.9754E+002
151.4583,-3.9766E+002
151.5000,-3.9790E+002
151.5417,-3.9799E+002
151.5833,-3.9777E+002
151.6250,-3.9756E+002
151.6667,-3.9747E+002
151.7083,-3.9770E+002
151.7500,-3.9788E+002
151.7917,-3.9799E+002
151.8333,-3.9790E+002
151.8750,-3.9773E+002
151.9167,-3.9760E+002
151.9583,-3.9781E+002
152.0000,-3.9807E+002
152.0417,-3.9820E+002
152.0833,-3.9821E+002
152.1250,-3.9803E+002
152.1667,-3.9770E+002
152.2083,-3.9752E+002
152.2500,-3.9790E+002
152.2917,-3.9836E+002
152.3333,-3.9865E+002
152.3750,-3.9887E+002
152.4167,-3.9894E+002
152.4583,-3.9897E+002
152.5000,-3.9865E+002
152.5417,-3.9837E+002
152.5833,-3.9817E+002
152.6250,-3.9848E+002
152.6667,-3.9921E+002
152.7083,-3.9970E+002
152.7500,-3.9993E+002
152.7917,-4.0016E+002
152.8333,-4.0021E+002
152.8750,-4.0030E+002
152.9167,-4.0008E+002
152.9583,-3.9986E+002
153.0000,-3.9967E+002
153.0417,-3.9954E+002
153.0833,-3.9975E+002
153.1250,-4.0082E+002
153.1667,-4.0139E+002
153.2083,-4.0171E+002
153.2500,-4.0181E+002
153.2917,-4.0163E+002
153.3333,-4.0144E+002
153.3750,-4.0126E+002
153.4167,-4.0109E+002
153.4583,-4.0094E+002
153.5000,-4.0083E+002
153.5417,-4.0078E+002
153.5833,-4.0097E+002
153.6250,-4.0183E+002
153.6667,-4.0280E+002
153.7083,-4.0339E+002
153.7500,-4.0362E+002
153.7917,-4.0388E+002
153.8333,-4.0403E+002
153.8750,-4.0412E+002
153.9167,-4.0413E+002
153.9583,-4.0426E+002
154.0000,-4.0447E+002
154.0417,-4.0461E+002
154.0833,-4.0466E+002
154.1250,-4.0470E+002
154.1667,-4.0485E+002
154.2083,-4.0498E+002
154.2500,-4.0507E+002
154.2917,-4.0509E+002
154.3333,-4.0524E+002
154.3750,-4.0539E+002
154.4167,-4.0550E+002
154.4583,-4.0552E+002
154.5000,-4.0565E+002
154.5417,-4.0583E+002
154.5833,-4.0596E+002
154.6250,-4.0603E+002
154.6667,-4.0614E+002
154.7083,-4.0630E+002
154.7500,-4.0643E+002
154.7917,-4.0651E+002
154.8333,-4.0661E+002
154.8750,-4.0677E+002
154.9167,-4.0689E+002
154.9583,-4.0696E+002
155.0000,-4.0707E+002
155.0417,-4.0723E+002
155.0833,-4.0734E+002
155.1250,-4.0740E+002
155.1667,-4.0753E+002
155.2083,-4.0769E+002
155.2500,-4.0780E+002
155.2917,-4.0786E+002
155.3333,-4.0800E+002
155.3750,-4.0816E+002
155.4167,-4.0827E+002
155.4583,-4.0833E+002
155.5000,-4.0846E+002
155.5417,-4.0863E+002
155.5833,-4.0874E+002
155.6250,-4.0880E+002
155.6667,-4.0892E+002
155.7083,-4.0909E+002
155.7500,-4.0920E+002
155.7917,-4.0926E+002
155.8333,-4.0938E+002
155.8750,-4.0954E+002
155.9167,-4.0966E+002
155.9583,-4.0972E+002
156.0000,-4.0983E+002
156.0417,-4.1000E+002
156.0833,-4.1012E+002
156.1250,-4.1021E+002
156.1667,-4.1033E+002
156.2083,-4.1052E+002
156.2500,-4.1067E+002
156.2917,-4.1080E+002
156.3333,-4.1092E+002
156.3750,-4.1113E+002
156.4167,-4.1131E+002
156.4583,-4.1148E+002
156.5000,-4.1159E+002
156.5417,-4.1178E+002
156.5833,-4.1203E+002
156.6250,-4.1223E+002
156.6667,-4.1242E+002
156.7083,-4.1246E+002
156.7500,-4.1252E+002
156.7917,-4.1286E+002
156.8333,-4.1317E+002
156.8750,-4.1346E+002
156.9167,-4.1361E+002
156.9583,-4.1370E+002
157.0000,-4.1371E+002
157.0417,-4.1373E+002
157.0833,-4.1391E+002
157.1250,-4.1445E+002
157.1667,-4.1473E+002
157.2083,-4.1496E+002
157.2500,-4.1507E+002
157.2917,-4.1520E+002
157.3333,-4.1522E+002
157.3750,-4.1536E+002
157.4167,-4.1556E+002
157.4583,-4.1568E+002
157.5000,-4.1569E+002
157.5417,-4.1547E+002
157.5833,-4.1545E+002
157.6250,-4.1577E+002
157.6667,-4.1599E+002
157.7083,-4.1612E+002
