Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000      0.150678      0.519991E-02  0.147401E-01  -605.347      -212.098      -212.153       80.1435       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       16.2630       16.2630       16.2630      0.185463      0.641205E-02  0.150074E-01  -692.529      -254.228      -235.861       97.4502       0.00000      -393.813       11.5500      0.500000       5.00000       4.00000       2.67824       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       15.1983       15.1983       15.1983      0.166750      0.577704E-02  0.138654E-01  -609.100      -215.794      -199.800       98.6434       0.00000      -388.050       11.5500      0.500000       5.00000       4.00000       2.44571       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       14.2848       14.2848       14.2848      0.132845      0.461058E-02  0.120876E-01  -432.516      -153.307      -146.508       62.2377       0.00000      -383.156       11.5500      0.500000       5.00000       4.00000       2.24619       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       13.6212       13.6212       13.6212      0.618519E-01  0.214943E-02  0.108279E-01  -337.487      -114.157      -104.595       54.6012       0.00000      -379.630       11.5500      0.500000       5.00000       4.00000       2.10128       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       13.1136       13.1136       13.1136      0.836628E-01  0.291024E-02  0.109788E-01  -393.013      -123.039      -106.631       88.3582       0.00000      -376.949       11.5500      0.500000       5.00000       4.00000       1.99042       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       12.5674       12.5674       12.5674      0.142678      0.496836E-02  0.119974E-01  -520.409      -196.830      -151.260       89.9136       0.00000      -374.081       11.5500      0.500000       5.00000       4.00000       1.87113       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       11.7973       11.7973       11.7973      0.216606      0.755392E-02  0.118665E-01  -518.518      -227.761      -182.719       50.3540       0.00000      -370.064       11.5500      0.500000       5.00000       4.00000       1.70294       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       10.9604       10.9604       10.9604      0.238276      0.832303E-02  0.116317E-01  -575.471      -236.762      -182.561       90.3962       0.00000      -365.735       11.5500      0.500000       5.00000       4.00000       1.52016       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       10.0938       10.0938       10.0938      0.285310      0.998257E-02  0.114661E-01  -609.804      -282.318      -192.920       73.3204       0.00000      -361.293       11.5500      0.500000      0.367129       10.1938     -0.297674       0.00000       0.00000       0.00000       0.00000    
