"",32.500
149.0000,0.0000E+000
149.0417,3.3538E+002
149.0833,3.3425E+002
149.1250,3.3312E+002
149.1667,3.3199E+002
149.2083,3.3086E+002
149.2500,3.2973E+002
149.2917,3.2860E+002
149.3333,3.2746E+002
149.3750,3.2633E+002
149.4167,3.2520E+002
149.4583,3.2407E+002
149.5000,3.2294E+002
149.5417,3.2181E+002
149.5833,3.2068E+002
149.6250,3.1954E+002
149.6667,3.1841E+002
149.7083,3.1728E+002
149.7500,3.1615E+002
149.7917,3.1502E+002
149.8333,3.1389E+002
149.8750,3.1276E+002
149.9167,3.1162E+002
149.9583,3.1049E+002
150.0000,3.0936E+002
150.0417,3.0915E+002
150.0833,3.0893E+002
150.1250,3.0872E+002
150.1667,3.0851E+002
150.2083,3.0829E+002
150.2500,3.0808E+002
150.2917,3.0787E+002
150.3333,3.0765E+002
150.3750,3.0744E+002
150.4167,3.0723E+002
150.4583,3.0701E+002
150.5000,3.0680E+002
150.5417,3.0658E+002
150.5833,3.0637E+002
150.6250,3.0616E+002
150.6667,3.0594E+002
150.7083,3.0573E+002
150.7500,3.0552E+002
150.7917,3.0530E+002
150.8333,3.0509E+002
150.8750,3.0488E+002
150.9167,3.0466E+002
150.9583,3.0445E+002
151.0000,3.0423E+002
151.0417,3.0461E+002
151.0833,3.0499E+002
151.1250,3.0536E+002
151.1667,3.0574E+002
151.2083,3.0612E+002
151.2500,3.0649E+002
151.2917,3.0687E+002
151.3333,3.0724E+002
151.3750,3.0762E+002
151.4167,3.0800E+002
151.4583,3.0837E+002
151.5000,3.0875E+002
151.5417,3.0913E+002
151.5833,3.0950E+002
151.6250,3.0988E+002
151.6667,3.1026E+002
151.7083,3.1063E+002
151.7500,3.1101E+002
151.7917,3.1138E+002
151.8333,3.1176E+002
151.8750,3.1214E+002
151.9167,3.1251E+002
151.9583,3.1289E+002
152.0000,3.1327E+002
152.0417,3.1303E+002
152.0833,3.1279E+002
152.1250,3.1256E+002
152.1667,3.1232E+002
152.2083,3.1209E+002
152.2500,3.1185E+002
152.2917,3.1162E+002
152.3333,3.1138E+002
152.3750,3.1114E+002
152.4167,3.1091E+002
152.4583,3.1067E+002
152.5000,3.1044E+002
152.5417,3.1020E+002
152.5833,3.0997E+002
152.6250,3.0973E+002
152.6667,3.0950E+002
152.7083,3.0926E+002
152.7500,3.0902E+002
152.7917,3.0879E+002
152.8333,3.0855E+002
152.8750,3.0832E+002
152.9167,3.0808E+002
152.9583,3.0785E+002
153.0000,3.0761E+002
153.0417,3.0849E+002
153.0833,3.0937E+002
153.1250,3.1025E+002
153.1667,3.1113E+002
153.2083,3.1201E+002
153.2500,3.1289E+002
153.2917,3.1377E+002
153.3333,3.1465E+002
153.3750,3.1553E+002
153.4167,3.1641E+002
153.4583,3.1729E+002
153.5000,3.1817E+002
153.5417,3.1905E+002
153.5833,3.1993E+002
153.6250,3.2081E+002
153.6667,3.2169E+002
153.7083,3.2257E+002
153.7500,3.2345E+002
153.7917,3.2433E+002
153.8333,3.2521E+002
153.8750,3.2609E+002
153.9167,3.2697E+002
153.9583,3.2785E+002
154.0000,3.2873E+002
154.0417,3.2882E+002
154.0833,3.2891E+002
154.1250,3.2900E+002
154.1667,3.2909E+002
