"",33.000
0.0000,0.0000E+000
1.0000,-7.4291E+001
2.0000,-8.8345E+001
3.0000,-7.4628E+001
4.0000,-5.1186E+001
5.0000,-4.2753E+001
6.0000,-5.1628E+001
7.0000,-7.9646E+001
8.0000,-6.8596E+001
9.0000,-7.4822E+001
10.0000,-1.0786E+002
11.0000,-5.5466E+001
12.0000,-4.1572E+001
13.0000,-4.6372E+001
14.0000,-4.7655E+001
15.0000,-3.3956E+001
16.0000,-3.6536E+001
17.0000,-5.2761E+001
18.0000,-4.9679E+001
19.0000,-4.0041E+001
20.0000,-5.8586E+001
21.0000,-1.1558E+002
22.0000,-1.2816E+002
23.0000,-1.0708E+002
24.0000,-1.0430E+002
25.0000,-1.1902E+002
26.0000,-6.2438E+001
27.0000,-2.0570E+001
28.0000,-5.4481E+001
29.0000,-9.0896E+001
30.0000,-7.3903E+001
31.0000,-6.2679E+001
32.0000,-5.8201E+001
33.0000,-4.1553E+001
34.0000,-2.9657E+001
35.0000,-3.0009E-001
36.0000,-1.5173E+001
37.0000,-5.8909E-001
38.0000,-1.6235E+000
39.0000,-1.2973E+001
40.0000,-1.7082E+001
41.0000,-1.2313E+001
42.0000,-6.3312E+000
43.0000,-1.0069E+000
44.0000,8.0405E+000
45.0000,-4.9230E+000
46.0000,-4.1410E+001
47.0000,-5.2349E+001
48.0000,-7.6643E+001
49.0000,-9.3448E+001
50.0000,-3.8210E+001
51.0000,-4.8890E+001
52.0000,-5.6810E+001
53.0000,-2.5389E+001
54.0000,-2.8202E+001
55.0000,-5.1852E+001
56.0000,-5.9923E+001
57.0000,-5.3654E+001
58.0000,-5.7110E+001
59.0000,-1.0197E+002
60.0000,-5.4473E+001
61.0000,-1.5548E+001
62.0000,-6.9078E-001
63.0000,1.4314E+000
64.0000,1.4149E+000
65.0000,2.6509E-001
66.0000,-6.9729E+000
67.0000,-1.2402E+001
68.0000,-1.8309E+001
69.0000,-2.0888E+001
70.0000,-9.2663E+000
71.0000,1.1359E+000
72.0000,1.7626E+000
73.0000,-1.1299E+001
74.0000,-1.6929E+001
75.0000,-1.5849E+001
76.0000,-7.9608E+000
77.0000,-7.3638E+000
78.0000,2.0880E+000
79.0000,-2.7166E+001
80.0000,-3.3779E+001
81.0000,-3.2598E+001
82.0000,-4.5171E+001
83.0000,-5.1749E+001
84.0000,-3.4544E+001
85.0000,-2.1417E+001
86.0000,-1.5184E+001
87.0000,-1.1952E+001
88.0000,-9.3254E+000
89.0000,-5.7842E+000
90.0000,-9.8090E+000
91.0000,-8.0975E+000
92.0000,-4.4255E+000
93.0000,-9.8711E+000
94.0000,-1.7541E+001
95.0000,-5.4817E+000
96.0000,9.7805E-001
97.0000,-1.4796E+000
98.0000,-3.8423E+000
99.0000,-3.7517E+000
100.0000,1.5817E+000
101.0000,-1.8859E+000
102.0000,-1.2729E+000
103.0000,3.5972E-002
104.0000,-1.2372E+001
105.0000,-8.3177E+000
106.0000,8.6948E-002
107.0000,6.7507E-002
108.0000,3.1683E+000
109.0000,5.2069E+000
110.0000,6.2015E-001
111.0000,7.2475E+000
112.0000,-3.3891E+000
113.0000,-6.8387E+000
114.0000,2.3032E-001
115.0000,6.3002E-001
116.0000,-1.4968E+000
117.0000,-2.8923E+000
118.0000,-8.1524E+000
119.0000,-5.0301E+000
120.0000,-2.2626E-002
121.0000,-7.4462E+000
122.0000,-1.5434E+001
123.0000,-1.4539E+001
124.0000,-1.5506E+001
125.0000,-1.5018E+001
126.0000,-8.5017E+000
127.0000,-4.5097E+000
128.0000,-3.9845E+000
129.0000,-1.0220E+001
130.0000,-1.7508E+001
131.0000,-1.5329E+001
132.0000,-7.0025E+000
133.0000,-2.0409E+000
134.0000,-1.0414E+001
135.0000,-2.4012E+001
136.0000,-1.6248E+001
137.0000,-6.6533E+000
138.0000,-3.6691E+000
139.0000,-6.2444E+000
140.0000,-4.3096E+000
141.0000,-9.3070E+000
142.0000,-1.4926E+001
143.0000,-2.1479E+001
144.0000,-1.7927E+001
145.0000,-1.2713E+001
146.0000,-2.1036E+001
147.0000,-1.4818E+001
148.0000,-4.1777E+000
149.0000,-8.5560E+000
150.0000,-9.7942E+000
151.0000,-2.3176E+001
152.0000,-2.5593E+001
153.0000,-2.1154E+001
154.0000,-1.2372E+001
155.0000,-4.7603E+000
156.0000,-2.1184E+000
157.0000,-4.4621E+000
158.0000,-2.0955E+001
159.0000,-3.0071E+001
160.0000,-2.8213E+001
161.0000,-2.0494E+001
162.0000,-1.9689E+001
163.0000,-2.4925E+001
164.0000,-1.9232E+001
165.0000,-2.2411E+001
166.0000,-1.7888E+001
167.0000,-1.2763E+001
168.0000,-4.8788E+000
169.0000,-2.1489E+000
170.0000,-4.1779E+000
171.0000,-1.2837E+001
172.0000,-2.3435E+001
173.0000,-2.8181E+001
174.0000,-1.5720E+001
175.0000,-2.1985E+001
176.0000,-2.9905E+001
177.0000,-1.6405E+001
178.0000,-2.1001E+001
179.0000,-2.0688E+001
180.0000,-2.3181E+001
181.0000,-2.7438E+001
182.0000,-1.9504E+001
183.0000,-1.4212E+001
184.0000,-6.9459E+000
185.0000,-1.2755E+001
186.0000,-1.7458E+001
187.0000,-2.0448E+001
188.0000,-2.7417E+001
189.0000,-1.7059E+001
190.0000,-1.8706E+001
191.0000,-1.3842E+001
192.0000,-1.2718E+001
193.0000,-1.6376E+001
194.0000,-1.5346E+001
195.0000,-1.6687E+001
196.0000,-1.3947E+001
197.0000,-2.4689E+001
198.0000,-3.0357E+001
199.0000,-2.2609E+001
200.0000,-2.9510E+001
201.0000,-2.3457E+001
202.0000,-3.0545E+001
203.0000,-1.7890E+001
204.0000,-1.1190E+001
205.0000,-8.8037E+000
206.0000,-1.7502E+001
207.0000,-2.9113E+001
208.0000,-4.4894E+001
209.0000,-2.5615E+001
210.0000,-2.3491E+001
211.0000,-2.1238E+001
212.0000,-1.9232E+001
213.0000,-1.7915E+001
214.0000,-1.3145E+001
215.0000,-4.6002E+000
216.0000,-1.9447E+001
217.0000,-2.1707E+001
218.0000,-2.5067E+001
219.0000,-3.2410E+001
220.0000,-1.7058E+001
