"",32.500
149.0000,0.0000E+000
149.0417,-2.6149E+001
149.0833,-2.7039E+001
149.1250,-2.7867E+001
149.1667,-2.8568E+001
149.2083,-2.8951E+001
149.2500,-2.9163E+001
149.2917,-2.9658E+001
149.3333,-3.0196E+001
149.3750,-3.0696E+001
149.4167,-3.3822E+001
149.4583,-3.6346E+001
149.5000,-3.8510E+001
149.5417,-4.0498E+001
149.5833,-4.2373E+001
149.6250,-4.4167E+001
149.6667,-4.5898E+001
149.7083,-4.7578E+001
149.7500,-4.9214E+001
149.7917,-5.0812E+001
149.8333,-5.2374E+001
149.8750,-5.3890E+001
149.9167,-5.5325E+001
149.9583,-5.6622E+001
150.0000,-5.7708E+001
150.0417,-5.8800E+001
150.0833,-5.9910E+001
150.1250,-6.1209E+001
150.1667,-6.2649E+001
150.2083,-6.4173E+001
150.2500,-6.5751E+001
150.2917,-6.7331E+001
150.3333,-6.8905E+001
150.3750,-7.0518E+001
150.4167,-7.2076E+001
150.4583,-7.3506E+001
150.5000,-7.4997E+001
150.5417,-7.6578E+001
150.5833,-7.7811E+001
150.6250,-7.8904E+001
150.6667,-8.0201E+001
150.7083,-8.1883E+001
150.7500,-8.3288E+001
150.7917,-8.4334E+001
150.8333,-8.5336E+001
150.8750,-8.6543E+001
150.9167,-8.7882E+001
150.9583,-8.9188E+001
151.0000,-9.0300E+001
151.0417,-8.9642E+001
151.0833,-8.9303E+001
151.1250,-8.8805E+001
151.1667,-8.8158E+001
151.2083,-8.7309E+001
151.2500,-8.7053E+001
151.2917,-8.6790E+001
151.3333,-8.6249E+001
151.3750,-8.5361E+001
151.4167,-8.4465E+001
151.4583,-8.4221E+001
151.5000,-8.4208E+001
151.5417,-8.3917E+001
151.5833,-8.2995E+001
151.6250,-8.2120E+001
151.6667,-8.1479E+001
151.7083,-8.1497E+001
151.7500,-8.1422E+001
151.7917,-8.1192E+001
151.8333,-8.0599E+001
151.8750,-7.9847E+001
151.9167,-7.9162E+001
151.9583,-7.9193E+001
152.0000,-7.9316E+001
152.0417,-7.8421E+001
152.0833,-7.7329E+001
152.1250,-7.5903E+001
152.1667,-7.4196E+001
152.2083,-7.2844E+001
152.2500,-7.2588E+001
152.2917,-7.2516E+001
152.3333,-7.2137E+001
152.3750,-7.1669E+001
152.4167,-7.0935E+001
152.4583,-7.0163E+001
152.5000,-6.8760E+001
152.5417,-6.7449E+001
152.5833,-6.6349E+001
152.6250,-6.6258E+001
152.6667,-6.6983E+001
152.7083,-6.7292E+001
152.7500,-6.7152E+001
152.7917,-6.7049E+001
152.8333,-6.6615E+001
152.8750,-6.6327E+001
152.9167,-6.5458E+001
152.9583,-6.4657E+001
153.0000,-6.3939E+001
153.0417,-6.3130E+001
153.0833,-6.3000E+001
153.1250,-6.4566E+001
153.1667,-6.5219E+001
153.2083,-6.5452E+001
153.2500,-6.5303E+001
153.2917,-6.4642E+001
153.3333,-6.4008E+001
153.3750,-6.3442E+001
153.4167,-6.2946E+001
153.4583,-6.2523E+001
153.5000,-6.2199E+001
153.5417,-6.2055E+001
153.5833,-6.2410E+001
153.6250,-6.4142E+001
153.6667,-6.6154E+001
153.7083,-6.7450E+001
153.7500,-6.8069E+001
153.7917,-6.8798E+001
153.8333,-6.9341E+001
153.8750,-6.9809E+001
153.9167,-7.0142E+001
153.9583,-7.0738E+001
154.0000,-7.1563E+001
154.0417,-7.1774E+001
154.0833,-7.1821E+001
154.1250,-7.1813E+001
154.1667,-7.2071E+001
154.2083,-7.2280E+001
154.2500,-7.2409E+001
154.2917,-7.2377E+001
154.3333,-7.2624E+001
154.3750,-7.2896E+001
154.4167,-7.3064E+001
154.4583,-7.3058E+001
154.5000,-7.3263E+001
154.5417,-7.3608E+001
154.5833,-7.3820E+001
154.6250,-7.3929E+001
154.6667,-7.4103E+001
154.7083,-7.4411E+001
154.7500,-7.4635E+001
154.7917,-7.4758E+001
154.8333,-7.4939E+001
154.8750,-7.5244E+001
154.9167,-7.5455E+001
154.9583,-7.5565E+001
155.0000,-7.5768E+001
155.0417,-7.5452E+001
155.0833,-7.5032E+001
155.1250,-7.4497E+001
155.1667,-7.4122E+001
155.2083,-7.3815E+001
