"",33.000
0.0000,0.0000E+000
1.0000,4.4566E+001
2.0000,5.4234E+001
3.0000,5.4943E+001
4.0000,3.4694E+001
5.0000,3.0462E+001
6.0000,4.9335E+001
7.0000,5.0245E+001
8.0000,2.8162E+001
9.0000,5.0597E+001
10.0000,4.1073E+001
11.0000,5.9333E+001
12.0000,5.8064E+001
13.0000,3.2482E+001
14.0000,3.9558E+001
15.0000,1.6645E+001
16.0000,4.3602E+001
17.0000,6.4346E+001
18.0000,4.7419E+001
19.0000,3.8276E+001
20.0000,6.9181E+001
21.0000,7.2062E+001
22.0000,7.2382E+001
23.0000,7.2178E+001
24.0000,3.8791E+001
25.0000,7.3799E+001
26.0000,5.7516E+001
27.0000,4.2404E+001
28.0000,7.2707E+001
29.0000,7.1382E+001
30.0000,7.9299E+001
31.0000,7.8737E+001
32.0000,7.8384E+001
33.0000,6.4418E+001
34.0000,6.8209E+001
35.0000,4.3603E+001
36.0000,7.0159E+001
37.0000,2.4580E+001
38.0000,4.2498E+001
39.0000,7.2468E+001
40.0000,8.3548E+001
41.0000,7.8694E+001
42.0000,8.3186E+001
43.0000,2.6091E+001
44.0000,4.0739E+001
45.0000,2.8677E+001
46.0000,7.9779E+001
47.0000,9.9303E+001
48.0000,1.0287E+002
49.0000,9.5157E+001
50.0000,8.6831E+001
51.0000,4.7801E+001
52.0000,5.7014E+001
53.0000,5.6808E+001
54.0000,8.1079E+001
55.0000,1.0893E+002
56.0000,1.2042E+002
57.0000,9.7702E+001
58.0000,1.1837E+002
59.0000,1.2791E+002
60.0000,1.1638E+002
61.0000,8.1747E+001
62.0000,2.8644E+001
63.0000,1.5562E+001
64.0000,1.4197E+001
65.0000,3.0745E+001
66.0000,7.2129E+001
67.0000,1.3565E+002
68.0000,9.9110E+001
69.0000,1.3724E+002
70.0000,1.2702E+002
71.0000,4.2611E+001
72.0000,5.2417E+001
73.0000,9.1536E+001
74.0000,1.4271E+002
75.0000,1.3110E+002
76.0000,1.4939E+002
77.0000,1.1620E+002
78.0000,8.8913E+001
79.0000,1.4917E+002
80.0000,1.6110E+002
81.0000,1.0837E+002
82.0000,8.2014E+001
83.0000,1.6722E+002
84.0000,1.6483E+002
85.0000,1.2416E+002
86.0000,1.5976E+002
87.0000,6.6596E+001
88.0000,6.6219E+001
89.0000,1.2984E+002
90.0000,1.6861E+002
91.0000,1.5997E+002
92.0000,8.3482E+001
93.0000,1.4786E+002
94.0000,4.3588E+001
95.0000,2.7480E+001
96.0000,4.4842E+001
97.0000,3.5643E+001
98.0000,3.8257E+001
99.0000,5.5857E+001
100.0000,1.4642E+002
101.0000,3.6164E+001
102.0000,1.2658E+001
103.0000,2.5054E+001
104.0000,2.4240E+001
105.0000,6.4045E+001
106.0000,4.3731E+001
107.0000,8.2789E+001
108.0000,1.4172E+002
109.0000,5.6720E+001
110.0000,4.0674E+001
111.0000,1.8944E+002
112.0000,3.9877E+001
113.0000,2.0427E+002
114.0000,2.0738E+002
115.0000,1.8695E+002
116.0000,4.4586E+001
117.0000,9.8272E+001
118.0000,3.2649E+001
119.0000,6.4461E+001
120.0000,1.1145E+002
121.0000,7.1183E+001
122.0000,1.4968E+002
123.0000,1.5356E+002
124.0000,1.5437E+002
