Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000      0.128039      0.441863E-02  0.106763E-01  -246.753      -65.4982      -107.395       52.2926       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       16.8521       16.8521       16.8521      0.208576      0.720284E-02  0.697869E-02  -284.157      -44.4343      -138.897       293.473       0.00000      -397.029       11.5500      0.500000       5.00000       4.00000       2.80689       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       16.8636       16.8636       16.8636      0.146480      0.505836E-02  0.815340E-02  -242.002      -38.9592      -127.698       192.550       0.00000      -397.092       11.5500      0.500000       5.00000       4.00000       2.80940       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       16.7704       16.7704       16.7704      0.750867E-01  0.259342E-02   0.00000      -175.912      -12.5129      -55.8076       339.345       0.00000      -396.582       11.5500      0.500000       5.00000       4.00000       2.78906       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       17.0859       17.0564       16.7704      0.197646      0.682229E-02  0.658585E-02  -197.655      -16.0411      -117.352       192.680       0.00000      -398.312       9.38999      0.500000       5.00000       4.00000       2.78906       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       17.0516       17.0425       16.7578      0.238687      0.823946E-02  0.627923E-02  -207.694      -12.7258      -126.493       216.132       0.00000      -398.123       10.9063      0.553749       5.00000       4.00000       2.78630       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       17.0525       17.0525       17.0525      0.175167      0.604676E-02  0.895096E-02  -151.996      -25.6996      -73.0540       37.6116       0.00000      -398.128       11.5500      0.500000       5.00000       4.00000       2.85067       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       16.8437       16.8437       16.8437      0.151944      0.524723E-02  0.819745E-02  -117.066      -22.1297      -42.5208       27.2980       0.00000      -396.984       11.5500      0.500000       5.00000       4.00000       2.80507       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       16.6788       16.6788       16.6788      0.114292      0.394824E-02   0.00000      -129.008      -10.3866      -48.2752       217.035       0.00000      -396.081       11.5500      0.500000       5.00000       4.00000       2.76905       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       16.8306       16.8306       16.8306      0.972852E-01  0.335974E-02   0.00000      -133.464      -9.09643      -49.0047       235.429       0.00000      -396.912       11.5500      0.500000       5.00000       4.00000       2.80220       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       17.0149       17.0071       16.8306      0.145265      0.501491E-02   0.00000      -132.966       1.24336      -62.8225       246.412       0.00000      -397.922       10.5787      0.500000       5.00000       4.00000       2.80220       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       17.2743       17.2041       16.8306      0.179272      0.618578E-02  0.628865E-02  -303.892      -25.8474      -165.977       366.458       0.00000      -399.347       7.89601      0.500000       5.00000       4.00000       2.80220       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       17.3972       17.3104       16.8670      0.798901E-01  0.275594E-02   0.00000      -197.614      -13.5091      -78.3011       335.582       0.00000      -400.023       7.89601      0.517420       5.00000       4.00000       2.81016       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       17.7045       17.5510       16.8670      0.212068      0.731123E-02  0.610128E-02  -243.670      -5.19029      -153.728       289.612       0.00000      -401.718       7.43540      0.514369       5.00000       4.00000       2.81016       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       17.7993       17.6278       16.8884      0.178449      0.615105E-02   0.00000      -53.2863       22.1359      -16.8599       220.137       0.00000      -402.242       7.43541      0.528585       5.00000       4.00000       2.81482       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       18.3275       17.9198       16.8884      0.201781      0.694807E-02   0.00000      -63.6967       13.0273      -32.0772       142.630       0.00000      -405.171       5.24538      0.518958       5.00000       4.00000       2.81482       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       18.5128       18.0554       16.8884      0.193447      0.665866E-02  0.598724E-02  -205.549      -10.6707      -113.234       257.091       0.00000      -406.202       5.22038      0.513855       5.00000       4.00000       2.81482       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       18.6344       18.1421       16.9009      0.918342E-01  0.316028E-02  0.517976E-02  -215.619      -18.5037      -87.9816       327.737       0.00000      -406.880       5.22039      0.518225       5.00000       4.00000       2.81755       0.00000       0.00000       0.00000       0.00000    
       18   18.0000       18.8942       18.3366       16.9404      0.104894      0.360787E-02  0.685689E-02  -225.245      -32.4739      -100.795       229.233       0.00000      -408.331       5.22040      0.520779       5.00000       4.00000       2.82619       0.00000       0.00000       0.00000       0.00000    
       19   19.0000       18.8207       18.3386       16.9075      0.106758      0.367250E-02  0.741452E-02  -163.693      -32.1726      -64.4441       79.5382       0.00000      -407.920       6.00618      0.524971       5.00000       4.00000       2.81899       0.00000       0.00000       0.00000       0.00000    
       20   20.0000       18.4835       18.1837       16.8282      0.731583E-01  0.251834E-02  0.457602E-02  -107.781      -14.7581      -32.8393       131.237       0.00000      -406.039       7.61015      0.531026       5.00000       4.00000       2.80169       0.00000       0.00000       0.00000       0.00000    
       21   21.0000       18.5294       18.2204       16.8370      0.526211E-01  0.181122E-02   0.00000      -90.9282      -8.18845      -20.8793       152.673       0.00000      -406.295       7.61015      0.535196       5.00000       4.00000       2.80361       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       18.6811       18.3253       16.8370      0.587168E-01  0.202043E-02   0.00000      -101.948      -5.73836      -21.2888       213.560       0.00000      -407.141       7.38112      0.534551       5.00000       4.00000       2.80361       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       19.0214       18.5191       16.8370      0.798538E-01  0.274591E-02   0.00000      -105.912      -7.54136      -28.5625       191.525       0.00000      -409.043       6.57452      0.533846       5.00000       4.00000       2.80361       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       19.2489       18.6665       16.8370      0.106814      0.367132E-02   0.00000      -163.219      -7.16504      -58.2705       309.839       0.00000      -410.319       6.31637      0.532934       5.00000       4.00000       2.80361       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       19.6527       18.9225       16.8370      0.888467E-01  0.305134E-02  0.261167E-02  -187.391      -8.88541      -74.8542       324.934       0.00000      -412.590       5.91486      0.531502       5.00000       4.00000       2.80361       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       19.9616       19.1624       16.8844      0.225327      0.773384E-02  0.922097E-02  -255.651      -47.1559      -142.511       72.2485       0.00000      -414.334       5.91487      0.532315       5.00000       4.00000       2.81395       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       19.2582       18.8307       16.7408      0.271751      0.934023E-02  0.818374E-02  -213.168      -38.0407      -111.967       144.353       0.00000      -410.371       7.91386      0.539380       5.00000       4.00000       2.78259       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       19.0305       18.7031       16.7098      0.263382      0.905668E-02  0.814531E-02  -323.621      -23.7037      -200.354       313.039       0.00000      -409.094       8.61482      0.555074       5.00000       4.00000       2.77582       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       18.9595       18.6792       16.7149      0.122348      0.420766E-02   0.00000      -226.750      -14.7890      -108.289       325.413       0.00000      -408.697       9.04775      0.576361       5.00000       4.00000       2.77694       0.00000       0.00000       0.00000       0.00000    
       30   30.0000       19.1543       18.8499       16.7149      0.130600      0.448973E-02  0.854875E-02  -176.281      -29.9164      -83.0237       82.5395       0.00000      -409.788       9.02338      0.570419       5.00000       4.00000       2.77694       0.00000       0.00000       0.00000       0.00000    
       31   31.0000       18.8985       18.6780       16.7124      0.128638      0.442449E-02   0.00000      -141.443      -6.19462      -50.9882       261.750       0.00000      -408.355       9.58715      0.593529       5.00000       4.00000       2.77639       0.00000       0.00000       0.00000       0.00000    
       32   32.0000       19.4260       18.8872       16.7124      0.203044      0.697642E-02  0.648909E-02  -270.655      -18.3515      -149.015       323.678       0.00000      -411.314       7.62262      0.583934       5.00000       4.00000       2.77639       0.00000       0.00000       0.00000       0.00000    
       33   33.0000       19.5385       18.9766       16.7262      0.914114E-01  0.314012E-02  0.322595E-02  -191.006      -11.4208      -85.0300       282.024       0.00000      -411.947       7.64794      0.591428       5.00000       4.00000       2.77941       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       19.7341       19.1336       16.7369      0.123334      0.423507E-02  0.210890E-02  -203.323      -11.2153      -91.8676       309.067       0.00000      -413.049       7.64795      0.593014       5.00000       4.00000       2.78174       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       19.9636       19.3169       16.7500      0.108156      0.371221E-02  0.567968E-02  -125.329      -13.6925      -52.4301       132.744       0.00000      -414.345       7.64796      0.595652       5.00000       4.00000       2.78461       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       19.9645       19.3251       16.7562      0.217326      0.745921E-02  0.535811E-02  -134.462      -10.6280      -62.9415       156.097       0.00000      -414.350       7.71534      0.600214       5.00000       4.00000       2.78595       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       20.0060       19.3586       16.7690      0.142655      0.489589E-02  0.418628E-02  -238.538      -16.5255      -110.913       340.419       0.00000      -414.585       7.75272      0.608297       5.00000       4.00000       2.78874       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       20.2287       19.5350       16.7798      0.563145E-01  0.193185E-02   0.00000      -170.296      -8.17797      -51.6974       329.774       0.00000      -415.846       7.75273      0.611812       5.00000       4.00000       2.79112       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       20.7551       19.8140       16.7798      0.777595E-01  0.266472E-02   0.00000      -180.319      -9.07472      -61.6175       326.118       0.00000      -418.839       7.07675      0.611284       5.00000       4.00000       2.79112       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       21.2151       20.0686       16.7798      0.659304E-01  0.225729E-02   0.00000      -142.437      -6.00393      -48.1585       243.393       0.00000      -421.467       6.65998      0.610558       5.00000       4.00000       2.79112       0.00000       0.00000       0.00000       0.00000    
       41   41.0000       21.4775       20.2433       16.7798      0.117669      0.402656E-02  0.409043E-02  -195.481     -0.698698      -99.1290       300.140       0.00000      -422.971       6.57675      0.610131       5.00000       4.00000       2.79112       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       21.7248       20.4247       16.7866      0.101237      0.346257E-02  0.323956E-02  -163.585      -2.72839      -72.0158       260.088       0.00000      -424.394       6.57675      0.611456       5.00000       4.00000       2.79260       0.00000       0.00000       0.00000       0.00000    
       43   43.0000       21.9520       20.5915       16.7921      0.103204      0.352823E-02  0.363253E-02  -151.224      -5.55638      -59.8157       234.546       0.00000      -425.703       6.57676      0.612378       5.00000       4.00000       2.79380       0.00000       0.00000       0.00000       0.00000    
       44   44.0000       22.1480       20.7348       16.7972      0.126529      0.432394E-02  0.540207E-02  -145.450      -7.18437      -63.7963       185.417       0.00000      -426.835       6.57677      0.613367       5.00000       4.00000       2.79491       0.00000       0.00000       0.00000       0.00000    
       45   45.0000       22.2424       20.8010       16.8035      0.132756      0.453591E-02  0.589063E-02  -162.357      -6.96126      -78.2165       197.066       0.00000      -427.381       6.57678      0.615509       5.00000       4.00000       2.79628       0.00000       0.00000       0.00000       0.00000    
