"",32.500
149.0000,0.0000E+000
149.0417,-6.2151E+001
149.0833,-5.9588E+001
149.1250,-5.7245E+001
149.1667,-5.5118E+001
149.2083,-5.3246E+001
149.2500,-5.1872E+001
149.2917,-5.1995E+001
149.3333,-5.1595E+001
149.3750,-5.0721E+001
149.4167,-4.9837E+001
149.4583,-4.8833E+001
149.5000,-4.8189E+001
149.5417,-4.7861E+001
149.5833,-4.7370E+001
149.6250,-4.6913E+001
149.6667,-4.6260E+001
149.7083,-4.5729E+001
149.7500,-4.5469E+001
149.7917,-4.6608E+001
149.8333,-4.7213E+001
149.8750,-4.7345E+001
149.9167,-4.7433E+001
149.9583,-4.7587E+001
150.0000,-4.7894E+001
150.0417,-4.8585E+001
150.0833,-4.9224E+001
150.1250,-4.9830E+001
150.1667,-5.0470E+001
150.2083,-5.1073E+001
150.2500,-5.1598E+001
150.2917,-5.2084E+001
150.3333,-5.2632E+001
150.3750,-5.3162E+001
150.4167,-5.3656E+001
150.4583,-5.4112E+001
150.5000,-5.4695E+001
150.5417,-5.5233E+001
150.5833,-5.5724E+001
150.6250,-5.5931E+001
150.6667,-5.6403E+001
150.7083,-5.7130E+001
150.7500,-5.7666E+001
150.7917,-5.7785E+001
150.8333,-5.7590E+001
150.8750,-5.7382E+001
150.9167,-5.7750E+001
150.9583,-5.8806E+001
151.0000,-5.9730E+001
151.0417,-5.9232E+001
151.0833,-5.8398E+001
151.1250,-5.6971E+001
151.1667,-5.5546E+001
151.2083,-5.4299E+001
151.2500,-5.3942E+001
151.2917,-5.4282E+001
151.3333,-5.4414E+001
151.3750,-5.4200E+001
151.4167,-5.3791E+001
151.4583,-5.3159E+001
151.5000,-5.2252E+001
151.5417,-5.1423E+001
151.5833,-5.1124E+001
151.6250,-5.1433E+001
151.6667,-5.1598E+001
151.7083,-5.1443E+001
151.7500,-5.1199E+001
151.7917,-5.0686E+001
151.8333,-5.0207E+001
151.8750,-4.9804E+001
151.9167,-4.9713E+001
151.9583,-5.0464E+001
152.0000,-5.0673E+001
152.0417,-5.0653E+001
152.0833,-5.0310E+001
152.1250,-4.9920E+001
152.1667,-4.9478E+001
152.2083,-4.9042E+001
152.2500,-4.8615E+001
152.2917,-4.8207E+001
152.3333,-4.7857E+001
152.3750,-4.7739E+001
152.4167,-4.8420E+001
152.4583,-4.8924E+001
152.5000,-4.8875E+001
152.5417,-4.8813E+001
152.5833,-4.8827E+001
152.6250,-4.8878E+001
152.6667,-4.8777E+001
152.7083,-4.8590E+001
152.7500,-4.8296E+001
152.7917,-4.8284E+001
152.8333,-4.8336E+001
152.8750,-4.8270E+001
152.9167,-4.8155E+001
152.9583,-4.7931E+001
153.0000,-4.7944E+001
