datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	0.70170438	1.0468506	-8.3101868	84.473007	2.6380384	215.5148	0
1	2.7781272	-0.081112929	-6.3536743	62.919907	2.5221479	243.532	3.5725846e-10
2	2.4259746	-1.7373549	-19.88967	103.27308	0.67905841	175.55043	0
3	0.33520272	1.2705312	-16.338263	82.507568	1.0972308	196.94623	0
4	-1.7720473	2.2987237	0.014550781	25.941502	6.0471651	276.52231	1.6512941e-08
5	3.3755741	0.79831111	2.6395813	48.496136	6.1868453	272.74222	5.2623629e-10
6	2.0455351	-1.0574417	-4.4550232	89.346298	2.6896582	223.36037	0
7	-0.86288029	1.6874779	-3.2126526	92.414124	3.3180555	219.86028	0
8	-1.5968037	0.19482541	-0.31433716	50.147476	5.2522792	266.68732	2.3082587e-10
9	-4.8857369	-1.8703138	4.3903748	20.61396	8.0476051	291.81097	9.872679e-09
10	5.6427207	-0.36085281	-1.555365	53.888947	4.7855784	265.76175	6.8112186e-09
11	3.7451215	0.34912539	-6.8468994	64.242126	2.4419747	238.39746	2.9960713e-10
12	2.6180673	-0.91938162	-11.465796	76.091187	1.8349646	218.63918	2.6431405e-10
13	1.4334513	-0.80334598	-13.616125	81.864784	1.4354967	209.2451	0
14	2.1258137	-1.6401678	-14.351843	87.4366	1.4710954	211.60268	0
15	3.0697117	-1.4164162	-14.778204	107.59549	1.3811771	204.9201	0
16	3.8750134	-0.78568006	-11.95957	109.07581	1.8236392	201.80357	0
17	3.0278535	-0.67140645	-8.4601501	86.965439	2.3916122	227.44666	0
18	2.8383849	-1.8267244	-11.887793	98.919449	1.6208783	217.12653	0
19	1.8367723	-1.8392885	-16.935767	101.94884	1.140291	196.94081	0
20	2.7662511	-2.3588266	-17.403082	76.761917	1.1269259	216.537	0
21	3.8911064	-2.4779117	-18.094595	103.02809	1.1244916	196.65312	0
22	5.4436116	-3.5237386	-14.011786	99.952042	1.6502054	224.37985	0
23	3.4986119	-2.2951391	-9.0905823	55.698196	2.568762	248.51855	6.0844851e-10
24	3.0999496	-2.3076584	-10.291113	68.408737	2.3685736	235.76155	6.770803e-10
25	3.1125009	-2.3050673	-10.538306	60.449642	2.0353737	237.72331	0
26	3.072793	-2.4205408	-11.059393	99.131729	1.9717851	220.21617	0
27	2.3626218	-0.71995258	-8.6326355	122.16196	2.3778805	229.27704	0
28	1.9862696	-1.2077383	-7.5077271	105.49741	2.5402303	234.37851	2.9492905e-10
29	0.5407027	-1.6724792	-15.561346	110.83169	1.2069365	193.86896	0
30	-2.9718575	-4.3314819	-9.3360046	39.779881	2.6185091	248.70627	8.9929508e-09
31	4.7344313	-0.21782419	-9.4056763	122.04358	2.2911033	228.14299	1.6923044e-09
