"",33.000
243.0000,0.0000E+000
244.0000,2.3188E+001
245.0000,1.5705E+001
246.0000,1.3283E+001
247.0000,6.8774E+000
248.0000,6.2401E+000
249.0000,9.0008E+000
250.0000,4.6694E+000
251.0000,3.4535E+000
252.0000,2.2174E+000
253.0000,3.4589E+000
254.0000,1.2730E+000
255.0000,-2.1113E-001
256.0000,-3.6237E+000
257.0000,4.1902E+000
258.0000,3.7790E+000
259.0000,-5.9698E+000
260.0000,-1.0456E+001
261.0000,-3.3172E-001
262.0000,-1.1458E+001
263.0000,-1.1212E+001
264.0000,-1.3398E+001
265.0000,-1.8044E+001
266.0000,-2.0140E+001
267.0000,-3.1159E+001
268.0000,-2.6963E+001
269.0000,-2.2633E+001
270.0000,-1.3304E+001
271.0000,-1.0543E+001
272.0000,-6.5852E+000
273.0000,-1.8229E+000
274.0000,-2.8971E+000
275.0000,-4.1054E-001
276.0000,1.8335E+000
277.0000,-4.6139E+000
278.0000,-1.0149E+001
279.0000,-1.3506E+001
280.0000,-1.1721E+001
281.0000,-1.3486E+001
282.0000,7.2734E-001
283.0000,-9.0398E+000
284.0000,-9.0940E+000
285.0000,5.1611E-001
286.0000,-1.2405E+001
287.0000,-1.3883E+001
288.0000,-1.2339E+001
289.0000,-2.8256E+001
290.0000,-3.8972E+001
291.0000,-3.4387E+001
292.0000,-3.5998E+001
293.0000,4.6116E-001
294.0000,3.4974E+000
295.0000,4.1843E+000
296.0000,1.3802E+000
297.0000,-5.1048E+000
298.0000,-3.3888E+001
299.0000,-3.5524E+001
300.0000,-2.8725E+001
301.0000,-4.5503E+001
302.0000,-3.5419E+001
303.0000,-2.1599E+001
304.0000,-2.1492E+001
305.0000,-1.4450E+001
306.0000,1.2841E+001
307.0000,1.2192E+001
308.0000,-4.7311E+000
309.0000,-5.4841E+000
310.0000,3.9440E-001
311.0000,-1.9811E+001
312.0000,-2.2839E+001
313.0000,-1.8012E+001
314.0000,3.0258E+000
315.0000,-1.6288E+001
316.0000,-1.9045E+001
317.0000,-2.2002E+001
318.0000,-8.5927E+000
319.0000,-2.3633E+001
320.0000,-3.2371E+001
321.0000,-3.3306E+001
322.0000,-1.8620E+001
323.0000,-4.4645E+000
324.0000,-7.2729E-001
325.0000,2.9477E+000
326.0000,9.6212E+000
327.0000,-3.5011E+001
328.0000,-4.3531E+001
329.0000,-5.2628E+001
330.0000,-4.2201E+001
331.0000,-4.7204E+001
332.0000,-3.1188E+001
333.0000,-3.1982E+001
334.0000,-2.0162E+001
335.0000,-1.4794E+001
336.0000,1.6684E+001
337.0000,8.0244E+001
338.0000,-1.0282E+001
339.0000,-2.3034E+001
340.0000,-3.9273E+001
341.0000,-3.5125E+001
342.0000,8.8082E-001
343.0000,-2.7404E+001
344.0000,-5.8787E+001
345.0000,-8.3760E+001
346.0000,-9.9113E+001
347.0000,-6.5806E+001
348.0000,-4.7688E+001
349.0000,-2.6632E+001
350.0000,-1.2804E+002
351.0000,-4.7567E+001
352.0000,-2.2950E+001
353.0000,-3.0272E+001
354.0000,-2.3540E+001
355.0000,-2.7547E+001
356.0000,-8.5250E+001
357.0000,-7.7094E+001
358.0000,-5.5126E+001
359.0000,-5.5739E+001
360.0000,-7.7674E+001
361.0000,-6.2706E+001
362.0000,-9.8725E+001
363.0000,-1.2137E+002
364.0000,-8.6008E+001
365.0000,-7.2361E+001
366.0000,-7.0280E+001
367.0000,-9.4275E+001
368.0000,-1.0217E+002
369.0000,-5.3342E+001
370.0000,-5.4134E+001
371.0000,-4.4474E+001
372.0000,-5.6936E+001
373.0000,-5.9539E+000
374.0000,-1.8714E+001
375.0000,-1.5816E+001
376.0000,-2.4919E+001
377.0000,-2.0518E+001
378.0000,-2.3294E+001
379.0000,4.1912E+000
380.0000,-5.4647E+001
381.0000,-4.7540E+001
382.0000,-3.2993E+001
383.0000,-7.1424E+000
384.0000,-9.3893E+001
385.0000,-1.1014E+002
386.0000,-1.0863E+002
387.0000,-1.4130E+002
388.0000,-9.8352E+001
389.0000,-1.1669E+002
390.0000,-1.1135E+002
391.0000,-6.5399E+001
392.0000,-1.5601E+002
393.0000,-8.6983E+001
394.0000,-1.0191E+002
395.0000,-1.2625E+002
396.0000,-1.1210E+002
397.0000,-6.7993E+001
398.0000,-5.8128E+001
399.0000,-2.0765E+001
400.0000,-3.0392E+001
401.0000,-6.1968E+001
402.0000,-7.0712E+001
403.0000,-5.2510E+001
404.0000,-3.6916E+001
405.0000,-5.4500E+001
406.0000,-1.1209E+002
407.0000,-1.4344E+002
408.0000,-1.2591E+002
409.0000,-9.7908E+001
410.0000,-8.8003E+001
411.0000,-1.3171E+002
412.0000,-1.4839E+002
413.0000,-5.7679E+001
414.0000,-1.2953E+001
415.0000,-4.6940E+001
416.0000,-5.1406E+001
417.0000,-4.5468E+001
418.0000,-2.0363E+001
419.0000,-1.6642E+002
420.0000,-1.9396E+002
421.0000,-1.1940E+002
422.0000,-1.1930E+002
423.0000,-8.3820E+001
424.0000,-4.1775E+001
425.0000,-2.2978E+001
426.0000,-2.8860E+001
427.0000,-7.9323E+001
428.0000,-6.6546E+001
429.0000,-4.2984E+001
430.0000,-3.9119E+000
431.0000,4.9369E-001
432.0000,7.2314E-001
433.0000,-1.3005E+001
434.0000,-1.8498E+001
435.0000,-4.1438E+000
436.0000,1.2005E+000
437.0000,-1.1673E+000
438.0000,-8.2140E+000
439.0000,-2.6972E+001
440.0000,-8.3122E+001
441.0000,-9.0762E+001
442.0000,-5.1286E+001
443.0000,-6.0758E+001
444.0000,-6.1206E+001
445.0000,-6.8055E+001
446.0000,-4.1714E+001
447.0000,-3.0821E+001
448.0000,-1.1627E+001
449.0000,-6.1576E+000
450.0000,-1.6422E+001
451.0000,-2.2814E+001
452.0000,-3.8757E+001
453.0000,-3.6815E+001
454.0000,-3.6769E+001
455.0000,-3.4982E+001
456.0000,-2.3335E+001
457.0000,-1.0205E+001
458.0000,-2.6972E+000
459.0000,5.9693E-001
460.0000,-8.5379E+000
461.0000,-5.6202E+000
462.0000,-6.9091E-001
463.0000,-1.0363E+001
464.0000,-3.9218E+000
465.0000,-9.2459E+000
466.0000,1.8149E+000
467.0000,2.0731E+000
468.0000,5.6757E+000
469.0000,4.6028E+000
470.0000,3.7537E+000
471.0000,-3.4022E+000
472.0000,-1.2445E-001
473.0000,8.1093E+000
474.0000,1.1716E+000
475.0000,1.9451E+000
476.0000,-1.8806E-001
477.0000,1.8974E+000
478.0000,6.2553E+000
479.0000,1.3765E+000
480.0000,3.8071E+000
481.0000,6.5636E+000
482.0000,1.6844E+000
483.0000,1.3574E+000
484.0000,2.0002E-001
485.0000,7.2125E+000
486.0000,-3.3194E+001
487.0000,-4.2551E+001
488.0000,-2.4029E+001
489.0000,-1.0363E+001
490.0000,-1.0123E+001
491.0000,-5.8497E+000
492.0000,5.1471E+000
493.0000,-5.0385E+000
494.0000,-2.3778E+001
495.0000,-2.4186E+001
496.0000,-1.6672E+001
497.0000,-1.0102E+001
498.0000,-1.0282E+000
499.0000,7.1413E+000
500.0000,7.9843E+000
501.0000,5.0978E+000
502.0000,3.0619E+000
503.0000,-2.0318E+000
504.0000,-1.2534E+001
505.0000,-1.6764E+001
506.0000,-1.6186E+001
507.0000,-1.2394E+001
508.0000,-2.1457E+001
509.0000,-1.8946E+001
510.0000,-2.3555E+001
511.0000,-2.5561E+001
512.0000,-3.4103E+001
513.0000,-2.8457E+001
514.0000,-2.0341E+001
515.0000,-1.6136E+001
516.0000,-1.3131E+001
517.0000,-1.2264E+001
518.0000,-5.3860E+000
519.0000,-1.1382E+001
520.0000,-2.6231E+001
521.0000,-1.7966E+001
522.0000,-1.9060E+001
523.0000,-7.7216E+000
524.0000,-7.4732E+000
525.0000,-8.6657E+000
526.0000,-1.0819E+001
527.0000,-2.7455E+001
528.0000,-2.6691E+001
529.0000,-1.9026E+001
530.0000,-2.7544E+001
531.0000,-1.7383E+001
532.0000,-1.3033E+001
533.0000,-9.2259E+000
534.0000,-5.6801E+000
535.0000,-1.1433E+001
536.0000,-4.9584E+000
537.0000,-1.4432E+001
538.0000,-2.5088E+001
539.0000,-2.0326E+001
540.0000,-2.2102E+001
541.0000,-1.9584E+001
542.0000,-1.1429E+001
543.0000,-2.3857E+001
544.0000,-3.2745E+001
545.0000,-1.9550E+001
546.0000,-2.8557E+001
547.0000,-1.0260E+001
548.0000,-1.7274E+001
549.0000,-1.8305E+001
550.0000,-1.5002E+001
551.0000,-1.7854E+001
552.0000,-2.1678E+001
553.0000,-2.3144E+001
554.0000,-2.1093E+001
555.0000,-6.2047E+000
556.0000,-3.8958E+000
557.0000,-8.6836E+000
558.0000,-6.0751E+000
559.0000,-8.2586E+000
560.0000,-1.9918E+001
561.0000,-2.1989E+001
562.0000,-2.2032E+001
563.0000,-1.5718E+001
564.0000,-1.1900E+001
565.0000,-1.8920E+001
566.0000,-2.5363E+001
567.0000,-3.1066E+001
568.0000,-1.3785E+001
569.0000,-1.9530E+001
570.0000,-1.1126E+001
571.0000,-7.2294E+000
572.0000,-4.3685E+000
573.0000,-8.3599E+000
574.0000,-1.1026E+001
575.0000,-2.2448E+001
576.0000,-2.4910E+001
577.0000,-2.0108E+001
578.0000,-3.0722E+001
579.0000,-2.9712E+001
580.0000,-4.6484E+001
581.0000,-1.8825E+001
582.0000,-1.6979E+001
583.0000,-1.4253E+001
584.0000,-1.2355E+001
585.0000,-1.3056E+001
586.0000,-1.3241E+001
587.0000,-1.3159E+001
588.0000,-2.0061E+001
589.0000,-1.7234E+001
590.0000,-1.8481E+001
591.0000,-1.8860E+001
592.0000,-2.0643E+001
593.0000,-1.8313E+001
594.0000,-1.0585E+001
595.0000,-1.5093E+000
596.0000,-2.5901E+000
597.0000,-9.2262E+000
598.0000,-1.7441E+001
599.0000,-2.1352E+001
600.0000,-2.2382E+001
601.0000,-3.3917E+001
602.0000,-2.6637E+001
603.0000,-1.9431E+001
604.0000,-2.1158E+001
605.0000,-2.7139E+001
606.0000,-1.1425E+001
607.0000,-7.6869E+000
608.0000,-6.4723E+000
609.0000,-1.4314E+001
610.0000,-1.2974E+001
611.0000,-3.4364E+000
612.0000,-2.6761E+001
613.0000,-3.9519E+001
614.0000,-5.3794E+001
615.0000,-3.5951E+001
616.0000,-3.8156E+001
617.0000,-3.6469E+001
618.0000,-3.7291E+001
619.0000,-2.4859E+001
620.0000,-1.9269E+001
621.0000,-1.6484E+001
622.0000,-1.6359E+001
623.0000,-1.8906E+001
624.0000,-1.0804E+001
625.0000,-9.3344E+000
626.0000,-2.0731E+001
627.0000,-1.7420E+001
628.0000,-1.1374E+001
629.0000,-1.3317E+001
630.0000,-2.4924E+001
631.0000,-2.5409E+001
632.0000,-1.2331E+001
633.0000,-1.1176E+001
634.0000,-1.4595E+001
635.0000,-8.6482E+000
636.0000,-1.0002E+001
637.0000,-7.8048E+000
638.0000,-1.1374E+001
639.0000,-1.3782E+001
640.0000,-1.4902E+000
641.0000,-1.4297E+001
642.0000,-3.6019E+001
643.0000,-1.2921E+001
644.0000,-7.4878E+000
645.0000,-3.4765E+001
646.0000,-4.7119E+001
647.0000,-6.1253E+001
648.0000,-4.8109E+001
649.0000,-5.0465E+001
650.0000,-1.7100E+001
651.0000,-2.3707E+001
652.0000,-1.7682E+001
653.0000,-9.9089E-001
654.0000,-1.1617E+001
655.0000,-9.0577E+000
656.0000,-9.2324E+000
657.0000,-5.8905E+000
658.0000,-3.9166E+001
659.0000,-4.0177E+001
660.0000,-3.8463E+001
661.0000,-1.0340E+001
662.0000,5.2962E+000
663.0000,5.8385E-001
664.0000,-9.8091E+000
665.0000,-3.3057E+001
666.0000,-3.7867E+001
667.0000,-2.1421E+001
668.0000,-3.0212E+001
669.0000,-2.4382E+001
670.0000,-1.9882E+001
671.0000,-2.7096E+001
672.0000,-1.5602E+001
673.0000,-1.8334E+001
674.0000,-1.1228E+001
675.0000,-2.7109E+001
676.0000,-4.7777E+001
677.0000,-3.8461E+001
678.0000,-4.0026E+001
679.0000,-2.2891E+001
680.0000,-2.4080E+001
681.0000,-4.7178E+001
682.0000,-2.6500E+001
683.0000,-4.8268E+001
684.0000,-4.0133E+001
685.0000,-2.6024E+001
686.0000,-1.5021E+001
687.0000,-1.2919E+001
688.0000,-1.5376E+001
689.0000,-1.0869E+001
690.0000,-1.7829E+001
691.0000,-1.7867E+001
692.0000,-2.0500E+001
693.0000,-4.2962E+001
694.0000,-5.7114E+001
695.0000,-5.9007E+001
696.0000,-4.5922E+001
697.0000,-3.4929E+001
698.0000,-4.4582E+001
699.0000,-2.8490E+001
700.0000,-1.6913E+001
701.0000,-1.3683E+001
702.0000,1.0255E+001
703.0000,1.0745E+001
704.0000,-1.7947E+001
705.0000,-2.5604E+001
706.0000,-2.3808E+001
707.0000,-3.8439E+001
708.0000,-3.6636E+001
709.0000,-2.7965E+001
710.0000,-1.4406E-001
711.0000,1.9517E+001
712.0000,7.0146E+001
713.0000,-1.2107E+001
714.0000,-2.5929E+001
715.0000,-8.6463E+000
716.0000,-4.8583E+001
717.0000,-5.8976E+001
718.0000,-5.4050E+001
719.0000,-1.9325E-001
720.0000,-4.5510E+001
721.0000,-2.9244E+001
722.0000,-2.1653E+001
723.0000,-7.0254E+001
724.0000,-5.0968E+001
725.0000,-4.2094E+001
726.0000,-2.5627E+001
727.0000,-2.0839E+001
728.0000,-1.7614E+001
729.0000,-3.2476E+001
730.0000,-1.0886E+002
731.0000,-4.1186E+001
732.0000,-5.1806E+001
733.0000,-1.1315E+002
734.0000,-1.4160E+002
735.0000,-6.6060E+001
736.0000,-3.1609E+001
737.0000,-2.0631E+001
738.0000,-2.0713E-001
739.0000,2.5886E+000
740.0000,-1.1930E+001
741.0000,-4.1581E+001
742.0000,-5.9715E+001
743.0000,-2.6894E+001
744.0000,-5.8485E+001
745.0000,-9.3039E+001
746.0000,-7.4306E+001
747.0000,-4.8523E+001
748.0000,-1.4763E+002
749.0000,-1.8800E+002
750.0000,-8.1660E+001
751.0000,-3.5687E+001
752.0000,-3.0113E+001
753.0000,-1.0999E+002
754.0000,-8.9173E+001
755.0000,-4.3955E+001
756.0000,-6.1354E+001
757.0000,-1.0354E+002
758.0000,-5.5502E+001
759.0000,-1.3089E+001
760.0000,-2.2994E+001
761.0000,-3.3262E+001
762.0000,-8.2833E+001
763.0000,-5.5161E+001
764.0000,-4.9753E+001
765.0000,-1.0128E+002
766.0000,-5.4246E+001
767.0000,-4.5370E+001
768.0000,-1.0452E+002
769.0000,-4.9500E+001
770.0000,-1.9635E+001
771.0000,-1.7923E+001
772.0000,-3.7721E+001
773.0000,-6.2684E+001
774.0000,-1.1311E+002
775.0000,-5.3591E+001
776.0000,-4.5448E+001
777.0000,-3.9139E+001
778.0000,-7.2575E+000
779.0000,-1.3676E+001
780.0000,-2.6435E+001
781.0000,-1.8204E+001
782.0000,-1.0392E+001
783.0000,-9.0356E+001
784.0000,-1.0527E+002
785.0000,-6.7822E+001
786.0000,-4.5070E+001
787.0000,-4.7713E+001
788.0000,-5.1557E+001
789.0000,-6.0283E+001
790.0000,-7.4689E+001
791.0000,-8.2210E+001
792.0000,-3.0127E+001
793.0000,-7.0694E+000
794.0000,1.1562E+000
795.0000,-3.0266E+001
796.0000,-3.1862E+001
797.0000,-7.0368E+000
798.0000,-2.4744E+001
799.0000,-3.5654E+001
800.0000,-1.1973E+001
801.0000,1.3553E+000
802.0000,-2.6637E+000
803.0000,-2.1733E+001
804.0000,-5.0573E+001
805.0000,-6.0171E+001
806.0000,-4.4315E+001
807.0000,-3.0911E+001
808.0000,-5.5929E+000
809.0000,-5.0963E-001
810.0000,-2.9767E+000
811.0000,-1.4676E+000
812.0000,-1.9584E+000
813.0000,3.4870E-001
814.0000,-8.4731E-002
815.0000,4.4398E+000
816.0000,3.9399E+000
817.0000,2.3824E+000
818.0000,2.2402E-002
819.0000,-1.8097E+000
820.0000,-7.3279E+000
821.0000,-1.1675E+001
822.0000,-3.4359E+000
823.0000,-1.4115E+001
824.0000,-1.1581E+001
825.0000,-2.6490E-001
826.0000,6.2513E+000
827.0000,2.8431E+000
828.0000,2.2979E+000
829.0000,1.4011E-001
