"",32.500
149.0000,0.0000E+000
149.0417,-3.9016E+002
149.0833,-3.8920E+002
149.1250,-3.8833E+002
149.1667,-3.8756E+002
149.2083,-3.8690E+002
149.2500,-3.8652E+002
149.2917,-3.8705E+002
149.3333,-3.8724E+002
149.3750,-3.8711E+002
149.4167,-3.8695E+002
149.4583,-3.8669E+002
149.5000,-3.8664E+002
149.5417,-3.8676E+002
149.5833,-3.8677E+002
149.6250,-3.8677E+002
149.6667,-3.8662E+002
149.7083,-3.8653E+002
149.7500,-3.8659E+002
149.7917,-3.8751E+002
149.8333,-3.8806E+002
149.8750,-3.8829E+002
149.9167,-3.8848E+002
149.9583,-3.8868E+002
150.0000,-3.8896E+002
150.0417,-3.8923E+002
150.0833,-3.8947E+002
150.1250,-3.8969E+002
150.1667,-3.8992E+002
150.2083,-3.9013E+002
150.2500,-3.9028E+002
150.2917,-3.9041E+002
150.3333,-3.9057E+002
150.3750,-3.9071E+002
150.4167,-3.9083E+002
150.4583,-3.9092E+002
150.5000,-3.9108E+002
150.5417,-3.9120E+002
150.5833,-3.9130E+002
150.6250,-3.9122E+002
150.6667,-3.9130E+002
150.7083,-3.9151E+002
150.7500,-3.9161E+002
150.7917,-3.9146E+002
150.8333,-3.9113E+002
150.8750,-3.9078E+002
150.9167,-3.9076E+002
150.9583,-3.9113E+002
151.0000,-3.9141E+002
151.0417,-3.9157E+002
151.0833,-3.9152E+002
151.1250,-3.9113E+002
151.1667,-3.9072E+002
151.2083,-3.9041E+002
151.2500,-3.9060E+002
151.2917,-3.9120E+002
151.3333,-3.9166E+002
151.3750,-3.9192E+002
151.4167,-3.9206E+002
151.4583,-3.9206E+002
151.5000,-3.9189E+002
151.5417,-3.9175E+002
151.5833,-3.9192E+002
151.6250,-3.9244E+002
151.6667,-3.9286E+002
151.7083,-3.9309E+002
151.7500,-3.9326E+002
151.7917,-3.9326E+002
151.8333,-3.9328E+002
151.8750,-3.9333E+002
151.9167,-3.9356E+002
151.9583,-3.9426E+002
152.0000,-3.9464E+002
152.0417,-3.9500E+002
152.0833,-3.9516E+002
152.1250,-3.9529E+002
152.1667,-3.9537E+002
152.2083,-3.9544E+002
152.2500,-3.9551E+002
152.2917,-3.9557E+002
152.3333,-3.9566E+002
152.3750,-3.9586E+002
152.4167,-3.9651E+002
152.4583,-3.9704E+002
152.5000,-3.9725E+002
152.5417,-3.9744E+002
152.5833,-3.9766E+002
152.6250,-3.9788E+002
152.6667,-3.9802E+002
152.7083,-3.9809E+002
152.7500,-3.9809E+002
152.7917,-3.9824E+002
152.8333,-3.9842E+002
152.8750,-3.9852E+002
152.9167,-3.9858E+002
152.9583,-3.9858E+002
153.0000,-3.9869E+002
153.0417,-3.9881E+002
153.0833,-3.9887E+002
153.1250,-3.9883E+002
153.1667,-3.9882E+002
153.2083,-3.9895E+002
153.2500,-3.9908E+002
153.2917,-3.9917E+002
153.3333,-3.9920E+002
153.3750,-3.9925E+002
153.4167,-3.9936E+002
153.4583,-3.9944E+002
153.5000,-3.9949E+002
153.5417,-3.9955E+002
153.5833,-3.9967E+002
153.6250,-3.9977E+002
153.6667,-3.9984E+002
153.7083,-3.9989E+002
153.7500,-4.0000E+002
153.7917,-4.0010E+002
153.8333,-4.0018E+002
153.8750,-4.0023E+002
153.9167,-4.0036E+002
153.9583,-4.0047E+002
154.0000,-4.0056E+002
154.0417,-4.0063E+002
154.0833,-4.0075E+002
154.1250,-4.0084E+002
154.1667,-4.0091E+002
154.2083,-4.0093E+002
154.2500,-4.0102E+002
154.2917,-4.0108E+002
154.3333,-4.0112E+002
154.3750,-4.0106E+002
154.4167,-4.0111E+002
154.4583,-4.0118E+002
154.5000,-4.0119E+002
154.5417,-4.0108E+002
154.5833,-4.0096E+002
154.6250,-4.0101E+002
154.6667,-4.0108E+002
154.7083,-4.0107E+002
154.7500,-4.0099E+002
154.7917,-4.0077E+002
154.8333,-4.0072E+002
154.8750,-4.0075E+002
154.9167,-4.0072E+002
154.9583,-4.0054E+002
155.0000,-4.0015E+002
155.0417,-3.9983E+002
155.0833,-3.9988E+002
155.1250,-4.0000E+002
155.1667,-4.0003E+002
155.2083,-3.9992E+002
155.2500,-3.9952E+002
155.2917,-3.9906E+002
155.3333,-3.9861E+002
155.3750,-3.9818E+002
155.4167,-3.9779E+002
155.4583,-3.9751E+002
155.5000,-3.9755E+002
155.5417,-3.9807E+002
155.5833,-3.9850E+002
155.6250,-3.9876E+002
155.6667,-3.9885E+002
155.7083,-3.9862E+002
155.7500,-3.9825E+002
155.7917,-3.9790E+002
155.8333,-3.9757E+002
155.8750,-3.9725E+002
155.9167,-3.9695E+002
155.9583,-3.9667E+002
156.0000,-3.9641E+002
156.0417,-3.9616E+002
156.0833,-3.9594E+002
156.1250,-3.9576E+002
156.1667,-3.9560E+002
156.2083,-3.9547E+002
156.2500,-3.9538E+002
156.2917,-3.9531E+002
156.3333,-3.9527E+002
156.3750,-3.9526E+002
156.4167,-3.9528E+002
156.4583,-3.9534E+002
156.5000,-3.9544E+002
156.5417,-3.9574E+002
156.5833,-3.9665E+002
156.6250,-3.9775E+002
156.6667,-3.9856E+002
156.7083,-3.9891E+002
156.7500,-3.9911E+002
156.7917,-3.9923E+002
156.8333,-3.9931E+002
156.8750,-3.9942E+002
156.9167,-3.9959E+002
156.9583,-3.9988E+002
157.0000,-4.0010E+002
157.0417,-4.0028E+002
157.0833,-4.0045E+002
157.1250,-4.0060E+002
157.1667,-4.0077E+002
157.2083,-4.0093E+002
157.2500,-4.0110E+002
157.2917,-4.0127E+002
157.3333,-4.0144E+002
157.3750,-4.0161E+002
157.4167,-4.0178E+002
157.4583,-4.0194E+002
157.5000,-4.0210E+002
157.5417,-4.0224E+002
157.5833,-4.0241E+002
157.6250,-4.0257E+002
157.6667,-4.0272E+002
157.7083,-4.0283E+002
