"datetime","Relative_Humidity_percent","Rainfall_millimeterPerDay","Surface_Level_Barometric_Pressure_pascal","Longwave_Radiation_Downwelling_wattPerMeterSquared","Shortwave_Radiation_Downwelling_wattPerMeterSquared","Ten_Meter_Elevation_Wind_Speed_meterPerSecond","Air_Temperature_celsius"
"1901-01-01",62.51539,3.558539e-06,97111.04,249.4677,79.09318,4.448615,269.7219
"1901-01-02",62.76155,0,98325.21,175.6994,81.42158,3.845906,262.5215
"1901-01-03",61.82055,2.78844e-06,98876.13,174.8288,101.3708,4.427632,260.0287
"1901-01-04",62.13515,0,98398.72,176.9252,87.51833,2.854416,261.8011
"1901-01-05",62.42708,0,97552.12,210.9666,57.09609,3.721334,263.1161
"1901-01-06",62.29148,0,98169.28,176.0061,96.14674,2.487261,262.604
"1901-01-07",62.32699,0,97330.64,220.3027,82.9669,2.728339,267.4266
"1901-01-08",62.24233,0,97874.2,200.236,74.2893,2.161214,267.234
"1901-01-09",62.31944,2.05629e-06,97705.13,253.1471,76.26378,3.427288,271.2047
"1901-01-10",60.63593,1.749667e-05,98471.81,246.2415,36.86941,3.004229,266.5682
"1901-01-11",64.81647,0.0001464859,97623.15,307.5583,19.70374,2.442104,273.8155
"1901-01-12",75.8697,0.0002982593,96398.73,290.7265,49.3787,3.157956,270.8235
"1901-01-13",81.96881,0,96581.42,221.1374,82.70643,3.383671,268.263
"1901-01-14",81.09563,0,97123.59,194.3644,110.5718,1.463789,260.8392
"1901-01-15",94.23978,4.762773e-06,96926.42,219.1332,75.49618,2.307192,264.0847
"1901-01-16",71.69488,0.0001233674,96594.44,291.8412,28.7218,4.361483,272.2441
"1901-01-17",67.13068,4.4932e-06,95878.59,289.0775,81.16692,2.514707,273.6587
"1901-01-18",81.96609,6.667084e-05,95569.27,262.7882,85.98174,3.176099,267.5226
"1901-01-19",61.66225,1.59182e-06,97065.66,166.7299,87.57225,3.307438,251.1519
"1901-01-20",62.94729,0,98807.63,133.1873,97.57634,2.890337,245.985
"1901-01-21",73.69453,3.311846e-05,97300.76,275.9404,52.04284,4.678878,270.8308
"1901-01-22",68.69751,8.423589e-06,97313.41,249.3613,113.2074,3.625517,267.3396
"1901-01-23",97.34799,1.223912e-06,98769.41,184.6769,100.6826,2.281222,256.7008
"1901-01-24",83.6069,2.043715e-06,97095.15,265.2743,80.85874,1.867938,268.7395
"1901-01-25",89.89074,7.615576e-05,95647.38,267.3803,43.23049,3.129822,266.9168
"1901-01-26",79.8868,0,96486.68,197.1793,128.1656,4.97406,261.2522
"1901-01-27",64.0396,0,95981.02,169.1252,120.9076,4.20305,256.756
"1901-01-28",88.75338,1.749306e-05,94645.57,246.904,91.26729,3.056544,263.3551
"1901-01-29",81.27922,0,95469.55,193.5047,122.2872,3.228768,261.7607
"1901-01-30",75.32877,1.495156e-06,97027.89,204.356,91.33289,1.70227,259.9525
"1901-01-31",77.61127,0,96834.02,206.9927,108.722,2.028761,261.256
"1901-02-01",83.28876,1.747653e-05,96504.29,232.0426,124.9859,2.232438,264.2881
"1901-02-02",72.27457,0,97547.8,158.1533,139.3022,2.734144,259.0831
"1901-02-03",63.8465,0,97950.82,151.661,140.6515,2.792786,256.2964
"1901-02-04",68.93987,6.9554e-05,96872.23,220.6861,50.80312,2.456337,258.8263
"1901-02-05",82.13239,1.928655e-05,95898.09,243.0995,108.7618,4.866775,264.8716
"1901-02-06",77.74767,0,96409.18,194.8263,136.909,5.082894,261.2837
"1901-02-07",67.51676,0,96782.62,161.6675,154.1732,5.227438,260.5004
"1901-02-08",61.17786,0,97179.19,144.4942,154.6039,6.024111,259.9496
"1901-02-09",60.08699,0,96908.99,155.7241,140.6343,3.049141,255.5146
"1901-02-10",61.12361,0,96566.77,153.6852,156.7594,4.38188,256.0169
"1901-02-11",60.54171,0,97573.08,156.6722,154.1967,5.689213,259.3263
"1901-02-12",68.96883,0,96879.13,186.8419,133.2696,3.375517,260.5615
"1901-02-13",66.37428,1.165012e-06,95947.91,200.151,144.1799,6.614141,261.0943
"1901-02-14",68.72371,8.171796e-06,95798.52,254.0526,132.1703,5.001523,268.3448
"1901-02-15",62.359,2.223038e-06,95940.73,269.4322,128.794,4.472025,272.3494
"1901-02-16",61.42035,0,96149.81,267.9552,106.3209,3.458112,273.2245
"1901-02-17",65.93617,0,96137.92,240.8081,154.1176,3.60284,269.5616
"1901-02-18",68.69114,0,96386.52,212.4962,143.4984,3.125348,264.1757
"1901-02-19",64.44551,5.471887e-06,96412.44,214.309,104.997,2.07972,263.2781
"1901-02-20",86.05807,2.450382e-06,95766.16,208.5058,158.4684,2.675376,264.5753
"1901-02-21",67.25864,1.401292e-06,96061.18,197.3697,161.3069,3.731092,262.7196
"1901-02-22",65.2783,7.910448e-06,96748.03,205.2634,132.5823,2.801432,261.2167
"1901-02-23",70.28234,3.19966e-06,97086.48,195.8402,171.2581,2.347956,264.1823
"1901-02-24",82.56274,5.118778e-05,96674.54,254.7962,79.52399,2.71596,266.9031
"1901-02-25",71.104,6.883847e-06,96809.18,200.5978,146.0822,4.730636,265.0351
"1901-02-26",65.53848,7.680001e-06,96584.52,262.7599,135.0662,4.910947,270.5362
"1901-02-27",64.17699,5.120006e-06,96734.2,178.611,164.3339,5.417492,260.9492
"1901-02-28",64.57928,0,97783.16,160.425,189.4055,3.291245,257.474
"1901-03-01",70.60857,0,97687.39,184.7015,170.3102,3.490046,261.3965
"1901-03-02",66.09225,1.512218e-05,96541.85,268.8898,143.3681,3.491658,272.2402
"1901-03-03",81.88327,4.689599e-06,97569.63,212.2475,191.2302,2.440053,262.7801
"1901-03-04",65.9678,8.81205e-05,97276.16,272.9678,103.4073,4.331671,272.2913
"1901-03-05",73.20361,5.224832e-05,96237.5,273.0914,154.4535,2.610963,271.9316
"1901-03-06",65.96227,6.149597e-06,97007.16,193.0386,198.9379,5.825802,260.0814
"1901-03-07",79.27915,0,97904.95,198.8239,180.4898,3.44639,261.2833
"1901-03-08",77.7991,0,97835.29,238.825,137.4149,2.865974,268.2408
"1901-03-09",68.05935,8.659335e-05,97265.05,301.4785,60.39682,3.0309,274.4181
"1901-03-10",74.56747,0,98229.34,265.5225,106.9138,2.91111,269.1823
"1901-03-11",77.5029,0.000341068,97430.36,290.562,21.39065,3.595497,271.3829
"1901-03-12",71.13662,2.510739e-05,96032.81,260.3542,208.4272,4.55898,272.4268
"1901-03-13",79.18233,0,97177.08,194.455,218.778,3.535362,265.8663
"1901-03-14",85.95353,1.289619e-05,96927.59,268.5919,109.1027,2.333876,269.243
"1901-03-15",81.47958,1.858732e-05,96993.44,279.065,143.8839,2.226174,271.1803
"1901-03-16",80.63548,4.999219e-06,97289.93,261.4577,197.3066,2.045205,271.116
"1901-03-17",80.57169,2.396243e-06,97488.41,242.3459,217.0571,2.12268,270.234
"1901-03-18",75.69518,0,97548.77,249.8297,178.2976,2.381841,271.6059
"1901-03-19",72.65727,1.121436e-05,97926.59,263.7786,126.7517,4.126297,268.3219
"1901-03-20",84.08677,7.312891e-05,98416.55,273.7243,69.38557,2.922933,266.46
"1901-03-21",75.75473,0.0001729684,97215.69,318.8114,30.91205,2.639233,275.977
"1901-03-22",72.88828,4.444005e-05,96510.8,282.1159,227.4215,3.0774,275.292
"1901-03-23",72.57906,0,97856.8,216.7171,240.0108,2.760675,270.7033
"1901-03-24",70.12245,4.095292e-06,97742.01,268.5303,107.72,1.768534,273.9846
"1901-03-25",72.59167,3.497282e-05,97598.4,306.0687,96.7754,2.017467,276.4131
"1901-03-26",73.03993,0.0002255971,97197.38,311.684,33.53823,2.881345,275.9753
"1901-03-27",67.82307,0.0003877368,95597.93,308.5292,180.3827,3.939771,278.6407
"1901-03-28",54.62671,0,96001.74,229.8716,240.5873,4.039369,273.2661
"1901-03-29",46.71297,0,96184.15,215.4606,256.3617,4.721126,271.8023
"1901-03-30",48.49586,0,96767.02,213.1122,258.2192,5.080769,272.3591
"1901-03-31",67.2001,0.0001037274,96402.08,268.3376,68.52642,3.45402,272.6943
"1901-04-01",79.92107,2.897464e-05,96568.5,269.0484,151.4795,4.083536,272.9464
"1901-04-02",74.51577,1.476025e-06,97610.4,267.3743,175.6895,2.464881,275.5855
